employee_skill_id,employee_id,skill_name,proficiency_level,years_experience,verified
ES00001,E0001,React,Beginner,3,false
ES00002,E0001,Python,Beginner,7,false
ES00003,E0001,Machine Learning,Advanced,6,true
ES00004,E0002,Financial Analysis,Intermediate,11,false
ES00005,E0002,Project Management,Expert,8,false
ES00006,E0002,FastAPI,Expert,11,true
ES00007,E0003,Python,Intermediate,7,true
ES00008,E0003,React,Advanced,6,false
ES00009,E0003,PostgreSQL,Beginner,9,true
ES00010,E0004,Quality Assurance,Expert,2,false
ES00011,E0004,Process Improvement,Intermediate,8,true
ES00012,E0004,Python,Beginner,1,true
ES00013,E0005,Sales Analytics,Beginner,3,false
ES00014,E0005,Communication,Intermediate,11,false
ES00015,E0005,Data Analysis,Advanced,9,true
ES00016,E0006,Process Improvement,Intermediate,10,true
ES00017,E0006,Financial Analysis,Advanced,10,false
ES00018,E0006,SQL,Intermediate,3,true
ES00019,E0007,Machine Learning,Expert,11,true
ES00020,E0007,Project Management,Expert,6,true
ES00021,E0007,Process Improvement,Intermediate,12,true
ES00022,E0008,DevOps,Expert,9,false
ES00023,E0008,Python,Advanced,2,true
ES00024,E0008,Cloud Computing,Expert,3,true
ES00025,E0009,Python,Advanced,5,true
ES00026,E0009,Machine Learning,Intermediate,1,true
ES00027,E0009,RAG,Advanced,3,false
ES00028,E0010,Cybersecurity,Advanced,5,true
ES00029,E0010,Quality Assurance,Advanced,8,false
ES00030,E0010,DevOps,Beginner,4,true
ES00031,E0011,DevOps,Intermediate,4,true
ES00032,E0011,PostgreSQL,Expert,6,false
ES00033,E0011,Cybersecurity,Advanced,8,false
ES00034,E0012,Financial Analysis,Expert,4,true
ES00035,E0012,PostgreSQL,Expert,6,false
ES00036,E0012,Sales Analytics,Advanced,3,true
ES00037,E0013,React,Advanced,5,false
ES00038,E0013,FastAPI,Expert,3,true
ES00039,E0013,Python,Beginner,10,true
ES00040,E0014,Python,Expert,7,false
ES00041,E0014,RAG,Beginner,10,true
ES00042,E0014,Data Analysis,Advanced,8,true
ES00043,E0015,Python,Advanced,7,false
ES00044,E0015,LLM Evaluation,Intermediate,8,false
ES00045,E0015,Machine Learning,Beginner,4,true
ES00046,E0016,PostgreSQL,Beginner,7,true
ES00047,E0016,FastAPI,Intermediate,7,false
ES00048,E0016,Python,Intermediate,7,true
ES00049,E0017,Quality Assurance,Advanced,7,true
ES00050,E0017,Python,Expert,4,true
ES00051,E0017,Process Improvement,Intermediate,10,false
ES00052,E0018,Leadership,Intermediate,10,true
ES00053,E0018,Data Analysis,Beginner,5,true
ES00054,E0018,Sales Analytics,Advanced,5,true
ES00055,E0019,Process Improvement,Expert,3,true
ES00056,E0019,Python,Intermediate,10,true
ES00057,E0019,SQL,Advanced,10,false
ES00058,E0020,Python,Expert,2,true
ES00059,E0020,React,Expert,5,true
ES00060,E0020,PostgreSQL,Beginner,4,false
ES00061,E0021,Python,Beginner,11,true
ES00062,E0021,Process Improvement,Intermediate,10,false
ES00063,E0021,SQL,Intermediate,7,true
ES00064,E0022,Cloud Computing,Advanced,7,true
ES00065,E0022,DevOps,Beginner,12,false
ES00066,E0022,Python,Beginner,3,true
ES00067,E0023,React,Expert,9,true
ES00068,E0023,Communication,Intermediate,10,false
ES00069,E0023,Sales Analytics,Intermediate,4,true
ES00070,E0024,Process Improvement,Beginner,2,true
ES00071,E0024,Financial Analysis,Intermediate,7,false
ES00072,E0024,SQL,Advanced,5,false
ES00073,E0025,Data Analysis,Beginner,7,false
ES00074,E0025,Sales Analytics,Intermediate,2,true
ES00075,E0025,Communication,Expert,8,false
ES00076,E0026,React,Advanced,9,true
ES00077,E0026,PostgreSQL,Expert,5,true
ES00078,E0026,FastAPI,Beginner,10,false
ES00079,E0027,RAG,Beginner,4,false
ES00080,E0027,LLM Evaluation,Beginner,6,false
ES00081,E0027,Data Analysis,Expert,7,true
