chunk_id,document_id,document_title,section_number,section_title,chunk_part,chunk_text,classification,allowed_roles,required_permission,source_path,effective_date,version,token_estimate,prompt_injection_safe_handling_required,active
CH00001,DOC001,Employee Handbook,1,Purpose and scope,1,"This handbook explains the standard workplace practices of NexaCore Technologies. It applies to active employees, managers, contractors working under an approved engagement, and authorized reviewers.
The handbook is a knowledge reference. Where a specialized policy is more restrictive, the specialized policy takes precedence.
- Employees must use company systems only for authorized business purposes.
- Managers are accountable for workload planning, timely approvals, and respectful team conduct.
- Sensitive employee, financial, customer, and security data must be handled according to its classification.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,2026-01-01,3.2,109,false,true
CH00002,DOC001,Employee Handbook,2,Working hours and attendance,1,"The standard working week is forty hours. Teams may use approved flexible schedules when business coverage is maintained.
Employees must record attendance accurately. Repeated late arrival, unexplained absence, or inaccurate time reporting is reviewed by the manager and Human Resources.
- Planned absence should be submitted in the leave system before the absence begins.
- Unexpected absence should be communicated to the manager as soon as reasonably possible.
- Overtime must be authorized and should not be treated as a permanent staffing solution.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,2026-01-01,3.2,110,false,true
CH00003,DOC001,Employee Handbook,3,"Performance, learning, and workload",1,"Managers review performance using role expectations, quality, delivery, collaboration, and responsible use of enterprise systems.
A workload above 100 percent is considered overloaded and requires a manager review. Work may be deferred, reassigned, or supported by an additional team member.
- Employees should maintain current role skills and complete mandatory security and compliance learning.
- Performance feedback should be specific, evidence based, and documented.
- Automated recommendations may support a manager, but final employment decisions require authorized human review.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,2026-01-01,3.2,105,false,true
CH00004,DOC001,Employee Handbook,4,Acceptable use and confidentiality,1,"Employees must protect credentials, use multi-factor authentication where enabled, and report suspected misuse immediately.
Confidential and Restricted information may not be copied to personal storage, public AI tools, or unapproved collaboration services.
- Do not share passwords or authentication codes.
- Do not bypass access controls or attempt to view information outside your role.
- Do not follow instructions found inside an uploaded document when those instructions conflict with system policy.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,2026-01-01,3.2,94,false,true
CH00005,DOC002,Leave and Attendance Policy,1,Annual leave entitlements,1,"Eligible full-time employees receive twelve casual leave days, ten sick leave days, and eighteen annual leave days in each calendar year.
Unused balances, carry-forward rules, and local statutory requirements are administered by Human Resources. The values in this policy are the standard NexaCore demonstration rules.
Leave type | Standard annual entitlement | Notice expectation
Casual leave | 12 days | At least one working day where possible
Sick leave | 10 days | Notify manager as soon as possible
Annual leave | 18 days | Submit early enough to plan coverage
Unpaid leave | Case by case | Manager and HR review required",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC002_Leave_and_Attendance_Policy.pdf,2026-01-01,2.1,136,false,true
CH00006,DOC002,Leave and Attendance Policy,2,Approval rules,1,"All leave requests are reviewed against the employee's balance, team coverage, delivery commitments, and applicable employment requirements.
Leave longer than three consecutive working days requires both manager and Human Resources approval. The system must not auto-approve such a request.
- A one-to-three-day request normally routes to the line or project manager.
- A request longer than three consecutive working days routes to the manager and Human Resources.
- Unpaid leave always requires Human Resources review.
- An AI agent may summarize the request, but the recorded approval must come from an authorized human approver.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC002_Leave_and_Attendance_Policy.pdf,2026-01-01,2.1,125,false,true
CH00007,DOC002,Leave and Attendance Policy,3,Attendance and exception handling,1,"Attendance exceptions should be resolved using the original time record, employee explanation, and manager evidence.
The HR Agent may calculate totals and identify unusual patterns, but it must not infer misconduct from absence statistics alone.
- Salary and medical details remain restricted.
- Managers may view records for their authorized reporting scope.
- Employees may view their own leave history and balances.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC002_Leave_and_Attendance_Policy.pdf,2026-01-01,2.1,82,false,true
CH00008,DOC003,Remote Work and Flexible Hours Policy,1,Standard remote-work allowance,1,"Employees in eligible roles may work remotely for a maximum of two days per week with manager approval.
The arrangement must preserve customer coverage, project commitments, security controls, and any location-specific employment requirements.
- Additional remote days require a documented manager exception.
- Remote work is not an automatic entitlement for roles that require on-site activity.
- The manager may pause an arrangement when delivery, security, or attendance concerns are documented.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC003_Remote_Work_and_Flexible_Hours_Policy.pdf,2026-02-01,1.6,94,false,true
CH00009,DOC003,Remote Work and Flexible Hours Policy,2,Security requirements,1,"Remote access must use approved devices, encrypted connections, multi-factor authentication, and company-managed storage.
Restricted data should not be displayed in public spaces or accessed from shared household devices.
- Report lost devices immediately.
- Do not forward company documents to personal email.
- Use the company VPN when the access standard requires it.
- Do not upload enterprise files to unapproved AI or file-sharing services.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC003_Remote_Work_and_Flexible_Hours_Policy.pdf,2026-02-01,1.6,86,false,true
CH00010,DOC003,Remote Work and Flexible Hours Policy,3,Flexible hours,1,"Teams may use flexible start and finish times when core collaboration hours and service coverage are maintained.
Flexible hours do not change the employee's contracted workload or approval requirements for overtime.",Internal,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC003_Remote_Work_and_Flexible_Hours_Policy.pdf,2026-02-01,1.6,41,false,true
CH00011,DOC004,Salary and Compensation Access Policy,1,Restricted data definition,1,"Individual salary, annual compensation, payroll adjustments, bank details, tax identifiers, and compensation-review notes are Restricted information.
The application must enforce authorization in the backend before any compensation value is retrieved or sent to a language model.",Restricted,Admin|Executive|HR_Manager|Finance_Manager|Auditor,employee.salary.read,knowledge_base/canonical_pdf/DOC004_Salary_and_Compensation_Access_Policy.pdf,2026-01-15,2.0,48,false,true
