role_id,permission_id,role_name,permission_name
R001,P001,Admin,user.manage
R001,P002,Admin,role.manage
R001,P003,Admin,employee.read
R001,P004,Admin,employee.read_sensitive
R001,P005,Admin,employee.salary.read
R001,P006,Admin,employee.update
R001,P007,Admin,leave.read_own
R001,P008,Admin,leave.read_all
R001,P009,Admin,leave.approve
R001,P010,Admin,project.read
R001,P011,Admin,project.create
R001,P012,Admin,project.update
R001,P013,Admin,project.assign
R001,P014,Admin,task.read
R001,P015,Admin,task.update_own
R001,P016,Admin,task.reassign
R001,P017,Admin,sales.read
R001,P018,Admin,sales.export
R001,P019,Admin,finance.read
R001,P020,Admin,expense.approve
R001,P021,Admin,document.read_public
R001,P022,Admin,document.read_hr
R001,P023,Admin,document.read_finance
R001,P024,Admin,document.read_security
R001,P025,Admin,document.upload
R001,P026,Admin,ai.query
R001,P027,Admin,ai.execute_low_risk
R001,P028,Admin,ai.execute_high_risk
R001,P029,Admin,approval.review
R001,P030,Admin,audit.read
R001,P031,Admin,evaluation.read
R001,P032,Admin,evaluation.manage
R002,P003,Executive,employee.read
R002,P004,Executive,employee.read_sensitive
R002,P005,Executive,employee.salary.read
R002,P008,Executive,leave.read_all
R002,P009,Executive,leave.approve
R002,P010,Executive,project.read
R002,P011,Executive,project.create
R002,P012,Executive,project.update
R002,P013,Executive,project.assign
R002,P014,Executive,task.read
R002,P016,Executive,task.reassign
R002,P017,Executive,sales.read
R002,P018,Executive,sales.export
R002,P019,Executive,finance.read
R002,P020,Executive,expense.approve
R002,P021,Executive,document.read_public
R002,P022,Executive,document.read_hr
R002,P023,Executive,document.read_finance
R002,P024,Executive,document.read_security
R002,P025,Executive,document.upload
R002,P026,Executive,ai.query
R002,P027,Executive,ai.execute_low_risk
R002,P028,Executive,ai.execute_high_risk
R002,P029,Executive,approval.review
R002,P030,Executive,audit.read
R002,P031,Executive,evaluation.read
R003,P003,HR_Manager,employee.read
R003,P004,HR_Manager,employee.read_sensitive
R003,P005,HR_Manager,employee.salary.read
R003,P006,HR_Manager,employee.update
R003,P007,HR_Manager,leave.read_own
R003,P008,HR_Manager,leave.read_all
R003,P009,HR_Manager,leave.approve
R003,P010,HR_Manager,project.read
R003,P014,HR_Manager,task.read
R003,P021,HR_Manager,document.read_public
R003,P022,HR_Manager,document.read_hr
R003,P025,HR_Manager,document.upload
R003,P026,HR_Manager,ai.query
R003,P027,HR_Manager,ai.execute_low_risk
R003,P029,HR_Manager,approval.review
R003,P031,HR_Manager,evaluation.read
R004,P003,Project_Manager,employee.read
R004,P007,Project_Manager,leave.read_own
R004,P010,Project_Manager,project.read
R004,P011,Project_Manager,project.create
R004,P012,Project_Manager,project.update
R004,P013,Project_Manager,project.assign
R004,P014,Project_Manager,task.read
R004,P015,Project_Manager,task.update_own
R004,P016,Project_Manager,task.reassign
R004,P017,Project_Manager,sales.read
R004,P021,Project_Manager,document.read_public
R004,P026,Project_Manager,ai.query
R004,P027,Project_Manager,ai.execute_low_risk
R004,P029,Project_Manager,approval.review
R004,P031,Project_Manager,evaluation.read
R005,P003,Finance_Manager,employee.read
R005,P005,Finance_Manager,employee.salary.read
R005,P007,Finance_Manager,leave.read_own
R005,P010,Finance_Manager,project.read
R005,P014,Finance_Manager,task.read
R005,P017,Finance_Manager,sales.read
R005,P018,Finance_Manager,sales.export
R005,P019,Finance_Manager,finance.read
R005,P020,Finance_Manager,expense.approve
R005,P021,Finance_Manager,document.read_public
R005,P023,Finance_Manager,document.read_finance
R005,P025,Finance_Manager,document.upload
R005,P026,Finance_Manager,ai.query
R005,P027,Finance_Manager,ai.execute_low_risk
R005,P029,Finance_Manager,approval.review
R005,P030,Finance_Manager,audit.read
R005,P031,Finance_Manager,evaluation.read
R006,P003,Sales_Manager,employee.read
R006,P007,Sales_Manager,leave.read_own
R006,P010,Sales_Manager,project.read
R006,P014,Sales_Manager,task.read
R006,P017,Sales_Manager,sales.read
R006,P018,Sales_Manager,sales.export
R006,P021,Sales_Manager,document.read_public
R006,P025,Sales_Manager,document.upload
R006,P026,Sales_Manager,ai.query
R006,P027,Sales_Manager,ai.execute_low_risk
R006,P029,Sales_Manager,approval.review
R006,P031,Sales_Manager,evaluation.read
R007,P003,Security_Officer,employee.read
R007,P004,Security_Officer,employee.read_sensitive
R007,P010,Security_Officer,project.read
R007,P014,Security_Officer,task.read
R007,P019,Security_Officer,finance.read
R007,P021,Security_Officer,document.read_public
R007,P024,Security_Officer,document.read_security
R007,P025,Security_Officer,document.upload
R007,P026,Security_Officer,ai.query
R007,P027,Security_Officer,ai.execute_low_risk
R007,P028,Security_Officer,ai.execute_high_risk
R007,P029,Security_Officer,approval.review
R007,P030,Security_Officer,audit.read
R007,P031,Security_Officer,evaluation.read
R007,P032,Security_Officer,evaluation.manage
R008,P007,Employee,leave.read_own
R008,P010,Employee,project.read
R008,P014,Employee,task.read
R008,P015,Employee,task.update_own
R008,P017,Employee,sales.read
R008,P021,Employee,document.read_public
R008,P026,Employee,ai.query
R009,P003,Auditor,employee.read
R009,P004,Auditor,employee.read_sensitive
R009,P005,Auditor,employee.salary.read
R009,P008,Auditor,leave.read_all
R009,P010,Auditor,project.read
R009,P014,Auditor,task.read
R009,P017,Auditor,sales.read
R009,P019,Auditor,finance.read
R009,P021,Auditor,document.read_public
R009,P022,Auditor,document.read_hr
R009,P023,Auditor,document.read_finance
R009,P024,Auditor,document.read_security
R009,P026,Auditor,ai.query
R009,P030,Auditor,audit.read
R009,P031,Auditor,evaluation.read
R010,P003,AI_Reviewer,employee.read
R010,P010,AI_Reviewer,project.read
R010,P014,AI_Reviewer,task.read
R010,P017,AI_Reviewer,sales.read
R010,P021,AI_Reviewer,document.read_public
R010,P026,AI_Reviewer,ai.query
R010,P029,AI_Reviewer,approval.review
R010,P030,AI_Reviewer,audit.read
R010,P031,AI_Reviewer,evaluation.read
R010,P032,AI_Reviewer,evaluation.manage
