order_id,order_date,customer_id,product_id,account_manager_employee_id,order_quantity,unit_cost_usd,unit_price_usd,discount_percent,cost_of_sales_usd,sales_usd,profit_usd,sales_channel,promotion_name,manufacturer,product_subcategory,product_category,region,city,country,requires_discount_approval,required_approval_level,order_status,data_classification
SO000001,2026-04-30,CUST0201,PROD027,E0117,24,208.34,298.74,9.85,5000.16,7169.76,2169.6,Direct Sales,Channel Partner Offer,Litware,Smartphones,Cell Phones,North America,New York,United States,false,None,Completed,Confidential
SO000002,2026-05-28,CUST0028,PROD010,E0046,3,660.78,1079.05,15.23,1982.34,3237.15,1254.81,Partner,Year-End Campaign,NexaCore,Desktops,Computers,Europe,Paris,France,true,Finance Manager,Completed,Confidential
SO000003,2026-06-13,CUST0011,PROD030,E0057,1,1063.34,1192.84,7.05,1063.34,1192.84,129.5,Online,Enterprise Upgrade,NexaCore,Smartphones,Cell Phones,Asia Pacific,Delhi,India,false,None,Completed,Confidential
SO000004,2026-03-09,CUST0074,PROD007,E0005,2,1197.93,1597.81,8.97,2395.86,3195.62,799.76,Partner,Enterprise Upgrade,Litware,Monitors,Computers,North America,Toronto,Canada,false,None,Shipped,Confidential
SO000005,2026-07-20,CUST0216,PROD020,E0147,20,811.29,1005.56,18.08,16225.8,20111.2,3885.4,Online,Strategic Account Discount,NexaCore,Action Cameras,Cameras and Camcorders,Asia Pacific,Mumbai,India,true,Finance Manager,Shipped,Confidential
SO000006,2025-09-01,CUST0092,PROD038,E0163,5,971.51,1051.26,19.25,4857.55,5256.3,398.75,Partner,Strategic Account Discount,Proseware,Streaming Devices,TV and Video,Latin America,Buenos Aires,Argentina,true,Finance Manager,Completed,Confidential
SO000007,2026-07-25,CUST0212,PROD025,E0046,5,343.59,456.8,18.68,1717.95,2284.0,566.05,Retail,Strategic Account Discount,NexaCore,Feature Phones,Cell Phones,Europe,Berlin,Germany,true,Finance Manager,Completed,Confidential
SO000008,2026-03-28,CUST0207,PROD049,E0047,20,1141.65,1341.55,18.12,22833.0,26831.0,3998.0,Partner,Strategic Account Discount,Woodgrove,Home Audio,Audio,North America,Chicago,United States,true,Finance Manager,Shipped,Confidential
SO000009,2025-10-05,CUST0108,PROD006,E0039,12,46.61,61.3,3.66,559.32,735.6,176.28,Partner,Quarterly Bundle,Fabrikam,Desktops,Computers,Asia Pacific,Singapore,Singapore,false,None,Completed,Confidential
SO000010,2025-10-03,CUST0186,PROD057,E0057,35,712.67,900.68,0.88,24943.45,31523.8,6580.35,Direct Sales,No Promotion,Litware,Digital Media,"Music, Movies and Audio Books",Europe,Amsterdam,Netherlands,false,None,Completed,Confidential
SO000011,2026-07-04,CUST0054,PROD004,E0046,19,170.43,238.52,0,3238.17,4531.88,1293.71,Online,No Promotion,Woodgrove,Accessories,Computers,Asia Pacific,Singapore,Singapore,false,None,Cancelled,Confidential
SO000012,2026-01-29,CUST0166,PROD054,E0046,6,217.4,296.87,1.08,1304.4,1781.22,476.82,Online,No Promotion,Woodgrove,Digital Media,"Music, Movies and Audio Books",Europe,Paris,France,false,None,Completed,Confidential
SO000013,2025-03-25,CUST0124,PROD019,E0117,15,296.97,353.43,9.37,4454.55,5301.45,846.9,Direct Sales,Channel Partner Offer,Woodgrove,Digital Cameras,Cameras and Camcorders,Europe,Berlin,Germany,false,None,Completed,Confidential
SO000014,2025-11-22,CUST0027,PROD046,E0150,13,145.3,264.48,0.26,1888.9,3438.24,1549.34,Direct Sales,No Promotion,Fabrikam,Home Audio,Audio,Europe,London,United Kingdom,false,None,Processing,Confidential
SO000015,2025-07-23,CUST0240,PROD025,E0039,10,325.51,561.74,0,3255.1,5617.4,2362.3,Online,No Promotion,NexaCore,Feature Phones,Cell Phones,North America,Chicago,United States,false,None,Processing,Confidential
SO000016,2026-03-06,CUST0113,PROD033,E0057,16,935.55,1262.25,0.17,14968.8,20196.0,5227.2,Direct Sales,No Promotion,Proseware,Projectors,TV and Video,Asia Pacific,Bengaluru,India,false,None,Processing,Confidential
SO000017,2025-12-01,CUST0115,PROD051,E0132,52,734.73,1407.61,11.54,38205.96,73195.72,34989.76,Retail,New Customer Incentive,Fabrikam,Digital Media,"Music, Movies and Audio Books",Asia Pacific,Delhi,India,true,Finance Manager,Completed,Confidential
SO000018,2025-06-03,CUST0171,PROD023,E0097,14,423.38,626.34,21.82,5927.32,8768.76,2841.44,Direct Sales,Executive Exception,Proseware,Phone Accessories,Cell Phones,North America,New York,United States,true,Finance Manager + Executive,Completed,Confidential
SO000019,2026-01-03,CUST0086,PROD017,E0057,10,337.54,536.77,11.19,3375.4,5367.7,1992.3,Online,Channel Partner Offer,Litware,Camcorders,Cameras and Camcorders,Asia Pacific,Sydney,Australia,true,Finance Manager,Completed,Confidential
SO000020,2025-01-06,CUST0180,PROD060,E0097,6,901.84,1094.33,6.9,5411.04,6565.98,1154.94,Partner,Enterprise Upgrade,NexaCore,Digital Media,"Music, Movies and Audio Books",Europe,Madrid,Spain,false,None,Completed,Confidential
