workflow_definition_id,workflow_name,description,trigger_type,required_agents,risk_tier,approval_condition,expected_output
WFD001,Enterprise Policy Question,Answer a policy question from authorized RAG evidence.,Text or document query,A001|A002|A003|A008|A009,Low,Confidence below 0.75 or grounding below 0.80,"Answer, source document, section, confidence, explanation"
WFD002,Project Status Analysis,"Analyze project progress, overdue tasks, risks, and recommendations.",Text query,A001|A002|A005|A008|A009,Medium,No approval for read-only analysis,"Status, metrics, risks, recommendation, trace"
WFD003,Project and Workload Analysis,Combine project and HR workload data.,Text query,A001|A002|A004|A005|A008|A009,Medium,Human review if sensitive employee details are exposed,"Project health, workload exceptions, evidence, recommendation"
WFD004,Compensation Access Query,Read salary only when RBAC explicitly permits it.,Text query,A001|A002|A004|A008|A009,High,Access denied unless employee.salary.read is granted,Authorized result or access-denied explanation
WFD005,Task Reassignment,Evaluate and execute a task reassignment through HITL.,Text action,A001|A002|A004|A005|A008|A010|A009,High,"Approval required for critical, deployment, security, or >40-hour tasks","Recommendation, approval status, execution result, audit ID"
WFD006,Sales Performance Analysis,"Analyze sales, profit, region, category, channel, and promotion.",Text query or CSV/XLSX attachment,A001|A002|A006|A008|A009,Medium,Approval required only for detailed export,"KPIs, trends, top/bottom segments, source, explanation"
WFD007,Sales Discount Exception,Route discount exceptions through role-based approval thresholds.,Sales action,A001|A002|A006|A007|A010|A009,High,>10% Finance; >20% Finance + Executive,"Threshold decision, approval request, final disposition"
WFD008,Purchase Approval,Route purchase requests according to amount thresholds.,Finance action,A001|A002|A007|A010|A009,High,All purchases require human approval; route by amount,"Policy decision, approver chain, final status, audit ID"
WFD009,Leave and Attendance Analysis,Analyze leave and attendance within authorized scope.,Text query,A001|A002|A004|A008|A009,High,Leave decisions require authorized manager/HR approval,Summary or access denial with policy basis
WFD010,Restricted Document Query,Retrieve confidential or restricted documents using role filters.,Text or document query,A001|A002|A003|A008|A009,High,Deny retrieval when role scope is insufficient,Grounded answer or access-denied result
WFD011,Agent Reliability Review,"Analyze pass rate, grounding, safety, hallucination, cost, and review rate.",Admin query,A001|A002|A011|A008|A009,Medium,No approval for read-only metrics,Reliability dashboard summary and anomalies
WFD012,Executive Management Briefing,"Combine HR, project, sales, finance, and policy evidence.",Complex text query with optional attachments,A001|A002|A003|A004|A005|A006|A007|A008|A009,High,Human review for restricted or decision-changing output,"Cross-domain briefing, sources, limitations, confidence"
