user_id,role_id,role_name,assigned_at
U0001,R008,Employee,2026-01-01
U0001,R002,Executive,2026-01-01
U0002,R008,Employee,2026-01-01
U0002,R003,HR_Manager,2026-01-01
U0003,R008,Employee,2026-01-01
U0003,R004,Project_Manager,2026-01-01
U0004,R008,Employee,2026-01-01
U0004,R004,Project_Manager,2026-01-01
U0005,R008,Employee,2026-01-01
U0005,R006,Sales_Manager,2026-01-01
U0006,R008,Employee,2026-01-01
U0006,R005,Finance_Manager,2026-01-01
U0007,R008,Employee,2026-01-01
U0007,R004,Project_Manager,2026-01-01
U0008,R001,Admin,2026-01-01
U0008,R008,Employee,2026-01-01
U0008,R007,Security_Officer,2026-01-01
U0009,R008,Employee,2026-01-01
U0009,R004,Project_Manager,2026-01-01
U0010,R008,Employee,2026-01-01
U0011,R008,Employee,2026-01-01
U0012,R008,Employee,2026-01-01
U0012,R004,Project_Manager,2026-01-01
U0013,R008,Employee,2026-01-01
U0014,R010,AI_Reviewer,2026-01-01
U0014,R008,Employee,2026-01-01
U0015,R008,Employee,2026-01-01
U0016,R008,Employee,2026-01-01
U0017,R009,Auditor,2026-01-01
U0017,R008,Employee,2026-01-01
U0018,R008,Employee,2026-01-01
U0019,R010,AI_Reviewer,2026-01-01
U0019,R008,Employee,2026-01-01
U0020,R008,Employee,2026-01-01
U0021,R008,Employee,2026-01-01
U0022,R008,Employee,2026-01-01
U0023,R008,Employee,2026-01-01
U0024,R009,Auditor,2026-01-01
U0024,R008,Employee,2026-01-01
U0025,R008,Employee,2026-01-01
U0026,R008,Employee,2026-01-01
U0027,R008,Employee,2026-01-01
U0028,R008,Employee,2026-01-01
U0029,R008,Employee,2026-01-01
U0030,R008,Employee,2026-01-01
U0031,R008,Employee,2026-01-01
U0032,R008,Employee,2026-01-01
U0033,R008,Employee,2026-01-01
U0034,R008,Employee,2026-01-01
U0035,R008,Employee,2026-01-01
U0036,R008,Employee,2026-01-01
U0037,R008,Employee,2026-01-01
U0038,R008,Employee,2026-01-01
U0039,R008,Employee,2026-01-01
U0040,R008,Employee,2026-01-01
U0041,R008,Employee,2026-01-01
U0042,R008,Employee,2026-01-01
U0043,R008,Employee,2026-01-01
U0044,R008,Employee,2026-01-01
U0045,R008,Employee,2026-01-01
U0046,R008,Employee,2026-01-01
U0047,R008,Employee,2026-01-01
U0048,R008,Employee,2026-01-01
U0049,R008,Employee,2026-01-01
U0050,R008,Employee,2026-01-01
U0051,R008,Employee,2026-01-01
U0052,R008,Employee,2026-01-01
U0053,R008,Employee,2026-01-01
U0054,R008,Employee,2026-01-01
U0055,R008,Employee,2026-01-01
U0056,R008,Employee,2026-01-01
U0057,R008,Employee,2026-01-01
U0058,R008,Employee,2026-01-01
U0059,R008,Employee,2026-01-01
U0060,R008,Employee,2026-01-01
U0061,R008,Employee,2026-01-01
U0062,R008,Employee,2026-01-01
U0063,R008,Employee,2026-01-01
U0064,R008,Employee,2026-01-01
U0065,R008,Employee,2026-01-01
U0066,R008,Employee,2026-01-01
U0067,R008,Employee,2026-01-01
U0068,R008,Employee,2026-01-01
U0069,R008,Employee,2026-01-01
U0070,R008,Employee,2026-01-01
U0071,R008,Employee,2026-01-01
U0072,R008,Employee,2026-01-01
U0073,R008,Employee,2026-01-01
U0074,R008,Employee,2026-01-01
U0075,R008,Employee,2026-01-01
U0076,R008,Employee,2026-01-01
U0077,R008,Employee,2026-01-01
U0078,R008,Employee,2026-01-01
U0079,R008,Employee,2026-01-01
U0080,R008,Employee,2026-01-01
U0081,R008,Employee,2026-01-01
U0082,R008,Employee,2026-01-01
U0083,R008,Employee,2026-01-01
U0084,R008,Employee,2026-01-01
U0085,R008,Employee,2026-01-01
U0086,R008,Employee,2026-01-01
U0087,R008,Employee,2026-01-01
U0088,R008,Employee,2026-01-01
U0089,R008,Employee,2026-01-01
U0090,R008,Employee,2026-01-01
U0091,R008,Employee,2026-01-01
U0092,R008,Employee,2026-01-01
U0093,R008,Employee,2026-01-01
U0094,R008,Employee,2026-01-01
U0095,R008,Employee,2026-01-01
U0096,R008,Employee,2026-01-01
U0097,R008,Employee,2026-01-01
U0098,R008,Employee,2026-01-01
U0099,R008,Employee,2026-01-01
U0100,R008,Employee,2026-01-01
U0101,R008,Employee,2026-01-01
U0102,R008,Employee,2026-01-01
U0103,R008,Employee,2026-01-01
U0104,R008,Employee,2026-01-01
U0105,R008,Employee,2026-01-01
U0106,R008,Employee,2026-01-01
U0107,R008,Employee,2026-01-01
U0108,R008,Employee,2026-01-01
U0109,R008,Employee,2026-01-01
U0110,R008,Employee,2026-01-01
U0111,R008,Employee,2026-01-01
U0112,R008,Employee,2026-01-01
U0113,R008,Employee,2026-01-01
U0114,R008,Employee,2026-01-01
