audit_log_id,event_time,actor_type,actor_id,event_category,action,resource_type,resource_id,result,risk_tier,details_json,correlation_id,immutable
AUD000001,2026-01-09T08:52:00,User,U0117,AI_WORKFLOW,workflow.execute,workflow_run,WFR00001,Needs Human Review,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.723}",WFR00001,true
AUD000002,2026-08-11T08:31:00,User,U0150,AI_WORKFLOW,workflow.execute,workflow_run,WFR00002,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.741}",WFR00002,true
AUD000003,2026-01-03T12:09:00,User,U0163,AI_WORKFLOW,workflow.execute,workflow_run,WFR00003,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.938}",WFR00003,true
AUD000004,2026-06-29T14:14:00,User,U0068,AI_WORKFLOW,workflow.execute,workflow_run,WFR00004,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00004,true
AUD000005,2026-08-11T09:11:00,User,U0096,AI_WORKFLOW,workflow.execute,workflow_run,WFR00005,Awaiting Approval,High,"{""workflow_definition_id"":""WFD005"",""security_decision"":""ALLOW"",""confidence"":0.75}",WFR00005,true
AUD000006,2026-03-18T09:41:00,User,U0148,AI_WORKFLOW,workflow.execute,workflow_run,WFR00006,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.97}",WFR00006,true
AUD000007,2026-01-03T12:56:00,User,U0107,AI_WORKFLOW,workflow.execute,workflow_run,WFR00007,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.767}",WFR00007,true
AUD000008,2026-02-09T13:15:00,User,U0032,AI_WORKFLOW,workflow.execute,workflow_run,WFR00008,Denied,High,"{""workflow_definition_id"":""WFD008"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00008,true
AUD000009,2026-08-01T17:11:00,User,U0119,AI_WORKFLOW,workflow.execute,workflow_run,WFR00009,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00009,true
AUD000010,2026-06-26T18:37:00,User,U0171,AI_WORKFLOW,workflow.execute,workflow_run,WFR00010,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00010,true
AUD000011,2026-03-29T08:18:00,User,U0011,AI_WORKFLOW,workflow.execute,workflow_run,WFR00011,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00011,true
AUD000012,2026-08-07T13:06:00,User,U0157,AI_WORKFLOW,workflow.execute,workflow_run,WFR00012,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00012,true
AUD000013,2026-07-07T17:28:00,User,U0003,AI_WORKFLOW,workflow.execute,workflow_run,WFR00013,Completed,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""ALLOW"",""confidence"":0.857}",WFR00013,true
AUD000014,2026-02-11T08:13:00,User,U0120,AI_WORKFLOW,workflow.execute,workflow_run,WFR00014,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00014,true
AUD000015,2026-01-16T16:53:00,User,U0170,AI_WORKFLOW,workflow.execute,workflow_run,WFR00015,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00015,true
AUD000016,2026-03-23T18:30:00,User,U0178,AI_WORKFLOW,workflow.execute,workflow_run,WFR00016,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00016,true
