snapshot_id,snapshot_date,employee_id,total_workload_percent,billable_workload_percent,active_project_count,open_task_count,overdue_task_count,workload_status
WL-2026-08-07-E0001,2026-08-07,E0001,46.0,30.1,0,0,0,Available
WL-2026-08-14-E0001,2026-08-14,E0001,34.4,23.9,0,0,0,Available
WL-2026-08-21-E0001,2026-08-21,E0001,36.8,30.9,0,0,0,Available
WL-2026-08-28-E0001,2026-08-28,E0001,34.2,22.8,0,0,0,Available
WL-2026-08-07-E0002,2026-08-07,E0002,86.0,68.7,2,0,0,High
WL-2026-08-14-E0002,2026-08-14,E0002,89.7,64.0,2,0,0,High
WL-2026-08-21-E0002,2026-08-21,E0002,83.7,65.7,2,0,0,Normal
WL-2026-08-28-E0002,2026-08-28,E0002,95.6,69.0,2,0,0,High
WL-2026-08-07-E0003,2026-08-07,E0003,101.7,84.0,2,4,3,Overloaded
WL-2026-08-14-E0003,2026-08-14,E0003,106.4,82.4,2,4,3,Overloaded
WL-2026-08-21-E0003,2026-08-21,E0003,104.9,70.7,2,4,3,Overloaded
WL-2026-08-28-E0003,2026-08-28,E0003,108.6,95.4,2,4,3,Overloaded
WL-2026-08-07-E0004,2026-08-07,E0004,52.7,36.5,1,0,0,Available
WL-2026-08-14-E0004,2026-08-14,E0004,63.2,41.9,1,0,0,Normal
WL-2026-08-21-E0004,2026-08-21,E0004,66.1,54.2,1,0,0,Normal
WL-2026-08-28-E0004,2026-08-28,E0004,67.1,58.0,1,0,0,Normal
WL-2026-08-07-E0005,2026-08-07,E0005,87.0,67.2,2,0,0,High
WL-2026-08-14-E0005,2026-08-14,E0005,83.9,70.6,2,0,0,Normal
WL-2026-08-21-E0005,2026-08-21,E0005,93.8,69.1,2,0,0,High
WL-2026-08-28-E0005,2026-08-28,E0005,90.1,78.8,2,0,0,High
WL-2026-08-07-E0006,2026-08-07,E0006,103.8,69.5,3,0,0,Overloaded
WL-2026-08-14-E0006,2026-08-14,E0006,96.5,81.5,3,0,0,High
WL-2026-08-21-E0006,2026-08-21,E0006,98.9,61.7,3,0,0,High
WL-2026-08-28-E0006,2026-08-28,E0006,101.2,81.9,3,0,0,Overloaded
WL-2026-08-07-E0007,2026-08-07,E0007,85.1,58.9,2,0,0,High
WL-2026-08-14-E0007,2026-08-14,E0007,96.9,64.8,2,0,0,High
WL-2026-08-21-E0007,2026-08-21,E0007,82.5,70.4,2,0,0,Normal
WL-2026-08-28-E0007,2026-08-28,E0007,85.5,64.8,2,0,0,High
WL-2026-08-07-E0008,2026-08-07,E0008,83.6,53.0,2,0,0,Normal
WL-2026-08-14-E0008,2026-08-14,E0008,85.8,73.8,2,0,0,High
WL-2026-08-21-E0008,2026-08-21,E0008,95.3,72.3,2,0,0,High
WL-2026-08-28-E0008,2026-08-28,E0008,82.1,67.6,2,0,0,Normal
WL-2026-08-07-E0009,2026-08-07,E0009,113.9,81.7,3,0,0,Overloaded
WL-2026-08-14-E0009,2026-08-14,E0009,118,91.3,3,0,0,Overloaded
WL-2026-08-21-E0009,2026-08-21,E0009,112.4,96.5,3,0,0,Overloaded
WL-2026-08-28-E0009,2026-08-28,E0009,111.0,83.6,3,0,0,Overloaded
WL-2026-08-07-E0010,2026-08-07,E0010,92.9,74.2,2,0,0,High
WL-2026-08-14-E0010,2026-08-14,E0010,81.9,52.4,2,0,0,Normal
WL-2026-08-21-E0010,2026-08-21,E0010,94.5,65.2,2,0,0,High
WL-2026-08-28-E0010,2026-08-28,E0010,92.1,80.8,2,0,0,High
WL-2026-08-07-E0011,2026-08-07,E0011,75.0,54.1,1,0,0,Normal
WL-2026-08-14-E0011,2026-08-14,E0011,70.6,53.9,1,0,0,Normal
WL-2026-08-21-E0011,2026-08-21,E0011,71.5,51.4,1,0,0,Normal
WL-2026-08-28-E0011,2026-08-28,E0011,67.7,51.2,1,0,0,Normal
WL-2026-08-07-E0012,2026-08-07,E0012,55.1,43.0,1,0,0,Normal
WL-2026-08-14-E0012,2026-08-14,E0012,64.7,50.6,1,0,0,Normal
WL-2026-08-21-E0012,2026-08-21,E0012,54.7,47.9,1,0,0,Available
WL-2026-08-28-E0012,2026-08-28,E0012,61.0,39.3,1,0,0,Normal
WL-2026-08-07-E0013,2026-08-07,E0013,103,87.4,2,4,0,Overloaded
