eval_item_id,eval_run_id,program_id,scenario_id,task_category,difficulty_tier,input_modality,requires_tool_use,requires_grounding,policy_sensitivity,input_text,expected_workflow_definition_id
EVI00001,EVR0001,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00002,EVR0001,EVP001,WFD001-SCN-02,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00003,EVR0001,EVP001,WFD001-SCN-03,Enterprise Policy Question,Easy,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00004,EVR0001,EVP001,WFD001-SCN-04,Enterprise Policy Question,Hard,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00005,EVR0001,EVP001,WFD001-SCN-05,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00006,EVR0001,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00007,EVR0001,EVP001,WFD001-SCN-07,Enterprise Policy Question,Adversarial,text+csv,false,true,Low,What is the remote-work policy?,WFD001
EVI00008,EVR0001,EVP001,WFD001-SCN-08,Enterprise Policy Question,Medium,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00009,EVR0002,EVP001,WFD001-SCN-01,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00010,EVR0002,EVP001,WFD001-SCN-02,Enterprise Policy Question,Medium,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00011,EVR0002,EVP001,WFD001-SCN-03,Enterprise Policy Question,Medium,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00012,EVR0002,EVP001,WFD001-SCN-04,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00013,EVR0002,EVP001,WFD001-SCN-05,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00014,EVR0002,EVP001,WFD001-SCN-06,Enterprise Policy Question,Adversarial,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00015,EVR0002,EVP001,WFD001-SCN-07,Enterprise Policy Question,Adversarial,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00016,EVR0002,EVP001,WFD001-SCN-08,Enterprise Policy Question,Medium,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00017,EVR0003,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00018,EVR0003,EVP001,WFD001-SCN-02,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the remote-work policy?,WFD001
EVI00019,EVR0003,EVP001,WFD001-SCN-03,Enterprise Policy Question,Easy,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00020,EVR0003,EVP001,WFD001-SCN-04,Enterprise Policy Question,Hard,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00021,EVR0003,EVP001,WFD001-SCN-05,Enterprise Policy Question,Hard,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00022,EVR0003,EVP001,WFD001-SCN-06,Enterprise Policy Question,Hard,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00023,EVR0003,EVP001,WFD001-SCN-07,Enterprise Policy Question,Easy,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00024,EVR0003,EVP001,WFD001-SCN-08,Enterprise Policy Question,Easy,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00025,EVR0004,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
