project_id,project_name,description,business_owner_department_id,project_manager_employee_id,start_date,planned_end_date,current_status,priority,current_progress_percent,expected_progress_percent,risk_level,budget_usd,spent_usd,data_classification,requires_hitl_for_changes,created_at,last_reviewed_at
PRJ001,Atlas ERP Integration,"Integrate finance, HR, sales, and operations data into a unified ERP workflow.",D007,E0007,2025-01-18,2027-03-16,At Risk,High,58,78,High,740000,438528.21,Confidential,true,2024-12-19T09:00:00,2026-08-15T14:00:00
PRJ002,Nova Customer Portal,Modernize the customer self-service portal and case-management experience.,D010,E0010,2025-01-25,2026-10-20,On Track,Medium,82,80,Low,380000,346813.9,Internal,false,2024-12-26T09:00:00,2026-08-25T14:00:00
PRJ003,Helios AI Sales Forecasting,Build AI-assisted regional sales forecasting and promotion optimization.,D005,E0005,2025-02-13,2027-01-30,At Risk,High,64,70,Medium,420000,299758.91,Confidential,true,2025-01-14T09:00:00,2026-08-17T14:00:00
PRJ004,Orion HRMS Modernization,Replace legacy HR workflows with a secure employee-service platform.,D002,E0002,2025-03-03,2026-12-02,On Track,High,71,72,Medium,510000,323085.79,Confidential,true,2025-02-01T09:00:00,2026-08-16T14:00:00
PRJ005,Vega Zero Trust Program,Implement identity-aware access controls and continuous authorization.,D008,E0008,2025-03-27,2027-02-21,At Risk,Critical,46,62,High,690000,357207.14,Confidential,true,2025-02-25T09:00:00,2026-08-23T14:00:00
PRJ006,Phoenix Operations Optimization,"Automate operational scheduling, capacity planning, and escalation workflows.",D007,E0007,2025-04-08,2027-01-11,On Track,Medium,77,74,Low,330000,236794.15,Internal,false,2025-03-09T09:00:00,2026-08-11T14:00:00
PRJ007,Aurora Mobile Service App,Deliver a mobile support application for field and customer-service teams.,D010,E0010,2025-04-21,2027-01-31,On Track,High,68,67,Medium,460000,346087.15,Confidential,true,2025-03-22T09:00:00,2026-08-25T14:00:00
PRJ008,Titan Enterprise Data Warehouse,"Create governed analytics models across sales, finance, and HR.",D009,E0009,2025-05-07,2027-01-12,At Risk,Critical,54,69,High,880000,423292.67,Confidential,true,2025-04-07T09:00:00,2026-08-19T14:00:00
PRJ009,Mercury Expense Automation,"Automate employee expense capture, policy checks, and approvals.",D006,E0006,2025-05-29,2026-11-19,On Track,Medium,88,84,Low,240000,225508.16,Internal,false,2025-04-29T09:00:00,2026-08-22T14:00:00
PRJ010,Echo Enterprise RAG Assistant,Build a grounded enterprise assistant over policies and operational records.,D009,E0009,2025-06-24,2027-04-02,At Risk,Critical,61,66,Medium,570000,308882.68,Confidential,true,2025-05-25T09:00:00,2026-08-13T14:00:00
PRJ011,Zenith QA Automation,"Expand test automation, release gates, and defect analytics.",D004,E0004,2025-07-09,2026-10-06,On Track,High,73,75,Medium,350000,281449.79,Confidential,true,2025-06-09T09:00:00,2026-08-20T14:00:00
PRJ012,Pulse Employee Analytics,Create privacy-aware workforce analytics and manager insights.,D002,E0002,2025-07-16,2026-12-18,On Track,Medium,80,76,Low,280000,247097.56,Internal,false,2025-06-16T09:00:00,2026-08-10T14:00:00
PRJ013,Compass Regional Sales Dashboard,"Provide region, channel, product, and profitability dashboards.",D005,E0005,2025-08-12,2026-12-07,On Track,Medium,92,90,Low,190000,191620.38,Internal,false,2025-07-13T09:00:00,2026-08-20T14:00:00
PRJ014,Shield Incident Response,"Modernize security incident triage, evidence collection, and escalation.",D008,E0008,2025-08-20,2027-01-23,At Risk,Critical,57,65,High,520000,325235.27,Confidential,true,2025-07-21T09:00:00,2026-08-25T14:00:00
PRJ015,Horizon Product Recommendations,Develop governed product recommendation services for sales channels.,D009,E0009,2025-09-05,2027-02-24,At Risk,High,49,55,Medium,430000,223108.42,Confidential,true,2025-08-06T09:00:00,2026-08-24T14:00:00
PRJ016,Keystone Procurement Workflow,"Digitize purchase requests, approvals, and supplier evaluation.",D006,E0006,2025-10-01,2027-01-17,On Track,High,76,72,Medium,310000,267119.65,Confidential,true,2025-09-01T09:00:00,2026-08-08T14:00:00
PRJ017,Mosaic Marketing Automation,"Automate campaign planning, segmentation, and performance reporting.",D011,E0011,2025-10-21,2026-10-19,On Track,Medium,69,68,Low,270000,211048.79,Internal,false,2025-09-21T09:00:00,2026-08-15T14:00:00
PRJ018,Delta Learning Platform,Create role-based learning paths and employee capability tracking.,D012,E0012,2025-10-31,2027-01-09,On Track,Medium,84,82,Low,220000,191844.1,Internal,false,2025-10-01T09:00:00,2026-08-14T14:00:00
