task_id,project_id,task_title,task_description,task_phase,priority,status,assigned_to_employee_id,created_by_employee_id,estimated_hours,actual_hours,planned_start_date,due_date,completed_at,progress_percent,blocked_reason,requires_approval_for_reassignment,data_classification,last_updated_at
T00001,PRJ001,Discovery: Finance connector,"Discovery: Finance connector for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0192,E0007,8,9.4,2025-01-18,2025-01-23,2025-01-23T16:00:00,100,,false,Confidential,2026-08-14T18:00:00
T00002,PRJ001,Discovery: HRMS connector,"Discovery: HRMS connector for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0030,E0007,24,24.6,2025-01-29,2025-02-08,2025-02-08T16:00:00,100,,false,Confidential,2026-08-10T13:00:00
T00003,PRJ001,Discovery: Sales connector,"Discovery: Sales connector for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0099,E0007,40,42.4,2025-02-10,2025-02-25,2025-02-25T16:00:00,100,,false,Confidential,2026-08-21T13:00:00
T00004,PRJ001,Discovery: Operations connector,"Discovery: Operations connector for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Critical,Completed,E0079,E0007,48,59.6,2025-02-21,2025-03-13,2025-03-13T16:00:00,100,,true,Confidential,2026-08-23T10:00:00
T00005,PRJ001,Discovery: Master data mapping,"Discovery: Master data mapping for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0192,E0007,80,71.9,2025-03-05,2025-03-28,2025-03-28T16:00:00,100,,true,Confidential,2026-08-26T08:00:00
T00006,PRJ001,Discovery: ERP cutover plan,"Discovery: ERP cutover plan for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0192,E0007,24,26.5,2025-03-16,2025-03-28,2025-03-28T16:00:00,100,,false,Confidential,2026-08-22T10:00:00
T00007,PRJ001,Discovery: Measure cycle-time improvement,"Discovery: Measure cycle-time improvement for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0192,E0007,24,25.5,2025-03-28,2025-04-10,2025-04-10T16:00:00,100,,false,Confidential,2026-08-09T17:00:00
T00008,PRJ001,Design: Create operations dashboard,"Design: Create operations dashboard for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0192,E0007,80,99.5,2025-04-08,2025-04-29,2025-04-29T16:00:00,100,,true,Confidential,2026-08-15T10:00:00
T00009,PRJ001,Design: Conduct readiness review,"Design: Conduct readiness review for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0017,E0007,60,64.2,2025-04-20,2025-05-13,2025-05-13T16:00:00,100,,true,Confidential,2026-08-27T10:00:00
T00010,PRJ001,Design: Map operational workflow,"Design: Map operational workflow for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,High,Completed,E0099,E0007,24,22.7,2025-05-01,2025-05-16,2025-05-16T16:00:00,100,,false,Confidential,2026-08-06T15:00:00
