expense_claim_id,employee_id,department_id,expense_date,expense_category,description,amount_usd,receipt_reference,policy_exception,status,approver_employee_id,submitted_at,decided_at,human_approval_required,policy_version,data_classification
EXP00001,E0010,D010,2025-11-26,Training,Business expense submitted with supporting evidence.,568.86,RCP-00001.pdf,false,Pending,E0001,2025-12-22T13:00:00,,true,FIN-EXP-2.4,Confidential
EXP00002,E0035,D012,2025-10-06,Software,Business expense submitted with supporting evidence.,803.05,RCP-00002.pdf,false,Approved,E0012,2025-10-14T16:00:00,2025-10-15T09:00:00,true,FIN-EXP-2.4,Confidential
EXP00003,E0131,D006,2025-12-22,Accommodation,Business expense submitted with supporting evidence.,947.57,RCP-00003.pdf,false,Approved,E0006,2026-01-13T08:00:00,2026-01-16T15:00:00,true,FIN-EXP-2.4,Confidential
EXP00004,E0085,D004,2026-03-16,Accommodation,Business expense submitted with supporting evidence.,1124.78,RCP-00004.pdf,false,Pending,E0004,2026-04-13T14:00:00,,true,FIN-EXP-2.4,Confidential
EXP00005,E0198,D009,2025-09-13,Office Supplies,Business expense submitted with supporting evidence.,3937.59,RCP-00005.pdf,true,Approved,E0009,2025-09-28T09:00:00,2025-09-29T04:00:00,true,FIN-EXP-2.4,Confidential
EXP00006,E0082,D011,2025-08-06,Software,Business expense submitted with supporting evidence.,1780.92,RCP-00006.pdf,false,Approved,E0011,2025-09-05T10:00:00,2025-09-08T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00007,E0100,D003,2025-10-10,Travel,Business expense submitted with supporting evidence.,735.64,RCP-00007.pdf,false,Approved,E0003,2025-10-25T18:00:00,2025-10-26T03:00:00,true,FIN-EXP-2.4,Confidential
EXP00008,E0165,D004,2025-12-04,Meals,Business expense submitted with supporting evidence.,237.35,RCP-00008.pdf,false,Approved,E0004,2025-12-09T14:00:00,2025-12-11T12:00:00,true,FIN-EXP-2.4,Confidential
EXP00009,E0093,D009,2026-01-14,Software,Business expense submitted with supporting evidence.,3461.9,RCP-00009.pdf,true,Approved,E0009,2026-01-23T11:00:00,2026-01-25T11:00:00,true,FIN-EXP-2.4,Confidential
EXP00010,E0166,D009,2025-08-12,Accommodation,Business expense submitted with supporting evidence.,1142.88,RCP-00010.pdf,false,Approved,E0009,2025-09-10T15:00:00,2025-09-11T10:00:00,true,FIN-EXP-2.4,Confidential
EXP00011,E0014,D009,2026-02-19,Training,Business expense submitted with supporting evidence.,2461.27,RCP-00011.pdf,false,Needs Clarification,E0009,2026-02-22T08:00:00,,true,FIN-EXP-2.4,Confidential
