supplier_id,supplier_name,supplier_category,country,risk_rating,approved,contract_expiry_date,data_classification
SUP001,Delhi Training Supplier 01,Facilities,India,Low,true,2028-06-19,Confidential
SUP002,Paris Technology Supplier 02,Professional Services,France,Low,true,2028-05-17,Confidential
SUP003,Riyadh Cloud Services Supplier 03,Training,Saudi Arabia,Low,true,2028-07-18,Confidential
SUP004,Delhi Technology Supplier 04,Technology,India,Low,true,2028-10-01,Confidential
SUP005,Johannesburg Professional Services Supplier 05,Marketing,South Africa,Medium,true,2028-10-10,Confidential
SUP006,Buenos Aires Professional Services Supplier 06,Professional Services,Argentina,Low,true,2027-07-04,Confidential
SUP007,Tokyo Professional Services Supplier 07,Facilities,Japan,Low,true,2029-01-07,Confidential
SUP008,Toronto Training Supplier 08,Marketing,Canada,Low,true,2028-09-24,Confidential
SUP009,Berlin Training Supplier 09,Marketing,Germany,High,true,2027-07-18,Confidential
SUP010,Mumbai Marketing Supplier 10,Training,India,Low,true,2027-03-30,Confidential
SUP011,Berlin Facilities Supplier 11,Cloud Services,Germany,Low,true,2027-04-09,Confidential
SUP012,Buenos Aires Professional Services Supplier 12,Cloud Services,Argentina,Low,true,2028-08-14,Confidential
SUP013,Riyadh Professional Services Supplier 13,Cloud Services,Saudi Arabia,Low,true,2028-06-27,Confidential
SUP014,Chicago Facilities Supplier 14,Training,United States,Medium,true,2028-04-13,Confidential
SUP015,Sydney Training Supplier 15,Facilities,Australia,Medium,true,2027-06-20,Confidential
SUP016,Riyadh Training Supplier 16,Professional Services,Saudi Arabia,Low,true,2028-07-06,Confidential
SUP017,San Francisco Technology Supplier 17,Professional Services,United States,Low,true,2028-07-24,Confidential
SUP018,San Francisco Marketing Supplier 18,Professional Services,United States,Low,true,2029-02-04,Confidential
SUP019,Mumbai Facilities Supplier 19,Cloud Services,India,Low,true,2028-09-17,Confidential
SUP020,Johannesburg Cloud Services Supplier 20,Facilities,South Africa,Medium,true,2026-10-21,Confidential
SUP021,Vancouver Facilities Supplier 21,Training,Canada,Low,true,2027-06-21,Confidential
SUP022,Riyadh Marketing Supplier 22,Facilities,Saudi Arabia,Medium,true,2028-02-07,Confidential
SUP023,London Cloud Services Supplier 23,Marketing,United Kingdom,Low,false,2027-04-12,Confidential
SUP024,Mumbai Marketing Supplier 24,Technology,India,Low,true,2027-06-03,Confidential
SUP025,London Professional Services Supplier 25,Facilities,United Kingdom,Low,true,2028-12-03,Confidential
SUP026,Chicago Technology Supplier 26,Facilities,United States,Medium,true,2027-05-01,Confidential
SUP027,Amsterdam Technology Supplier 27,Cloud Services,Netherlands,Low,true,2028-06-12,Confidential
SUP028,Buenos Aires Facilities Supplier 28,Professional Services,Argentina,Low,true,2027-09-02,Confidential
SUP029,Mumbai Technology Supplier 29,Technology,India,Medium,true,2027-02-15,Confidential
SUP030,Sydney Marketing Supplier 30,Technology,Australia,Low,true,2028-12-27,Confidential
SUP031,Bengaluru Technology Supplier 31,Cloud Services,India,Low,true,2029-02-13,Confidential
SUP032,Bengaluru Training Supplier 32,Training,India,Low,true,2027-04-04,Confidential
SUP033,Dubai Professional Services Supplier 33,Cloud Services,United Arab Emirates,Medium,true,2029-01-30,Confidential
SUP034,Singapore Marketing Supplier 34,Marketing,Singapore,Low,true,2028-05-22,Confidential
