purchase_request_id,requester_employee_id,department_id,supplier_id,request_title,business_justification,amount_usd,currency,required_approval_level,status,current_approver_employee_id,submitted_at,decided_at,human_approval_required,policy_version,data_classification
PUR0001,E0169,D003,SUP063,Professional service engagement,Required to support an approved operational or project objective.,904.12,USD,Line Manager,Approved,E0003,2026-06-17T11:00:00,2026-06-18T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0002,E0007,D007,SUP022,Marketing campaign services,Required to support an approved operational or project objective.,954.05,USD,Line Manager,Approved,E0003,2025-10-25T13:00:00,2025-10-29T00:00:00,true,FIN-PUR-3.0,Confidential
PUR0003,E0115,D002,SUP011,Office equipment,Required to support an approved operational or project objective.,1197.54,USD,Finance Manager,Approved,E0006,2025-08-21T12:00:00,2025-08-24T00:00:00,true,FIN-PUR-3.0,Confidential
PUR0004,E0003,D003,SUP080,Security assessment,Required to support an approved operational or project objective.,15210.06,USD,Finance Manager + Executive,Pending,E0006,2026-07-10T12:00:00,,true,FIN-PUR-3.0,Confidential
PUR0005,E0128,D003,SUP077,Cloud infrastructure capacity,Required to support an approved operational or project objective.,332.1,USD,Line Manager,Pending,E0008,2025-10-14T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0006,E0166,D009,SUP065,Marketing campaign services,Required to support an approved operational or project objective.,5564.6,USD,Finance Manager + Executive,Approved,E0006,2025-07-29T15:00:00,2025-08-03T01:00:00,true,FIN-PUR-3.0,Confidential
PUR0007,E0177,D004,SUP025,Software subscription,Required to support an approved operational or project objective.,381.85,USD,Line Manager,Pending,E0004,2025-06-14T16:00:00,,true,FIN-PUR-3.0,Confidential
PUR0008,E0107,D003,SUP036,Security assessment,Required to support an approved operational or project objective.,1092.21,USD,Finance Manager,Approved,E0006,2026-05-20T11:00:00,2026-05-25T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0009,E0082,D011,SUP044,Training program,Required to support an approved operational or project objective.,381.67,USD,Line Manager,Approved,E0005,2026-04-05T15:00:00,2026-04-08T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0010,E0167,D007,SUP061,Office equipment,Required to support an approved operational or project objective.,67643.86,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2026-07-13T15:00:00,2026-07-18T02:00:00,true,FIN-PUR-3.0,Confidential
PUR0011,E0070,D009,SUP033,Office equipment,Required to support an approved operational or project objective.,415.96,USD,Line Manager,Approved,E0009,2025-05-26T10:00:00,2025-05-26T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0012,E0004,D004,SUP070,Professional service engagement,Required to support an approved operational or project objective.,6224.29,USD,Finance Manager + Executive,Approved,E0006,2025-06-30T13:00:00,2025-07-04T07:00:00,true,FIN-PUR-3.0,Confidential
PUR0013,E0092,D007,SUP059,Software subscription,Required to support an approved operational or project objective.,20555.3,USD,Finance Manager + Executive,Approved,E0006,2025-07-01T13:00:00,2025-07-04T22:00:00,true,FIN-PUR-3.0,Confidential
PUR0014,E0133,D007,SUP036,Marketing campaign services,Required to support an approved operational or project objective.,1082.33,USD,Finance Manager,Pending,E0006,2025-07-15T10:00:00,,true,FIN-PUR-3.0,Confidential
PUR0015,E0068,D003,SUP056,Office equipment,Required to support an approved operational or project objective.,74081.02,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-08-28T09:00:00,2025-08-30T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0016,E0013,D003,SUP017,Data platform license,Required to support an approved operational or project objective.,11424.75,USD,Finance Manager + Executive,Pending,E0006,2025-08-09T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0017,E0054,D003,SUP042,Training program,Required to support an approved operational or project objective.,402.53,USD,Line Manager,Approved,E0004,2026-07-15T14:00:00,2026-07-18T18:00:00,true,FIN-PUR-3.0,Confidential
PUR0018,E0035,D012,SUP032,Cloud infrastructure capacity,Required to support an approved operational or project objective.,3948.58,USD,Finance Manager,Pending,E0006,2025-12-05T11:00:00,,true,FIN-PUR-3.0,Confidential
PUR0019,E0087,D009,SUP043,Cloud infrastructure capacity,Required to support an approved operational or project objective.,1199.43,USD,Finance Manager,Approved,E0006,2025-06-13T14:00:00,2025-06-15T04:00:00,true,FIN-PUR-3.0,Confidential
PUR0020,E0169,D003,SUP055,Marketing campaign services,Required to support an approved operational or project objective.,3046.61,USD,Finance Manager,Pending,E0006,2026-03-08T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0021,E0144,D011,SUP024,Professional service engagement,Required to support an approved operational or project objective.,2305.54,USD,Finance Manager,Approved,E0006,2026-02-05T08:00:00,2026-02-07T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0022,E0185,D002,SUP069,Security assessment,Required to support an approved operational or project objective.,54895.53,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2026-02-02T09:00:00,2026-02-07T06:00:00,true,FIN-PUR-3.0,Confidential
PUR0023,E0122,D004,SUP038,Security assessment,Required to support an approved operational or project objective.,350.93,USD,Line Manager,Approved,E0004,2026-04-01T08:00:00,2026-04-05T09:00:00,true,FIN-PUR-3.0,Confidential
