"review_id","eval_item_id","eval_run_id","resolution_time_min","human_label","root_cause_category","resolution_status","human_score","reviewer_role","review_queue"
"1","14983","5373","418","fail","tooling","open","0.1214","safety_reviewer","tool_use_queue"
"2","7742","20060","2756","fail","retrieval","in_progress","0.1717","qa_analyst","release_gate"
"3","8267","24858","2594","needs_fix","prompting","resolved","0.7584","eval_ops_lead","tool_use_queue"
"4","37364","23596","2398","acceptable_with_note","model_reasoning","in_progress","0.0464","safety_reviewer","tool_use_queue"
"5","7691","15465","247","pass","model_reasoning","accepted_risk","0.5271","qa_analyst","release_gate"
"6","49056","13221","1100","acceptable_with_note","retrieval","open","0.137","research_scientist","tool_use_queue"
"7","45104","1668","1230","fail","dataset_issue","accepted_risk","0.2313","research_scientist","release_gate"
"8","48196","10575","481","pass","policy_config","in_progress","0.1587","eval_ops_lead","customer_impact_queue"
"9","49309","18869","986","fail","prompting","resolved","0.2352","research_scientist","customer_impact_queue"
"10","42587","19851","481","pass","tooling","resolved","0.2275","safety_reviewer","safety_queue"
"11","48897","22704","10","needs_fix","retrieval","in_progress","0.6869","research_scientist","release_gate"
"12","14851","15221","1606","needs_fix","retrieval","accepted_risk","0.2799","research_scientist","tool_use_queue"
"13","23450","13907","478","fail","tooling","in_progress","0.0495","safety_reviewer","customer_impact_queue"
"14","45307","18468","2730","fail","policy_config","open","0.8279","safety_reviewer","regression_queue"
"15","10134","3172","247","acceptable_with_note","model_reasoning","accepted_risk","0.7162","eval_ops_lead","release_gate"
"16","16492","3102","2292","fail","tooling","accepted_risk","0.5607","eval_ops_lead","safety_queue"
"17","39458","16143","1337","needs_fix","dataset_issue","accepted_risk","0.6787","product_manager","regression_queue"
"18","4561","340","656","needs_fix","model_reasoning","open","0.0817","eval_ops_lead","safety_queue"
"19","34660","23086","1187","pass","retrieval","accepted_risk","0.0602","product_manager","regression_queue"
"20","16180","24895","2425","pass","dataset_issue","resolved","0.9723","research_scientist","tool_use_queue"
"21","23977","11626","2709","needs_fix","prompting","in_progress","0.0163","research_scientist","release_gate"
"22","18021","17448","1081","acceptable_with_note","prompting","open","0.0296","product_manager","safety_queue"
"23","25664","12902","2089","fail","prompting","in_progress","0.3312","product_manager","release_gate"
"24","18095","17628","2358","needs_fix","policy_config","resolved","0.9205","eval_ops_lead","regression_queue"
"25","38536","2175","958","acceptable_with_note","prompting","resolved","0.958","qa_analyst","tool_use_queue"
"26","24483","11962","645","acceptable_with_note","tooling","in_progress","0.2701","eval_ops_lead","tool_use_queue"
"27","45157","3751","387","pass","policy_config","resolved","0.1794","safety_reviewer","release_gate"
"28","35238","5747","581","pass","prompting","accepted_risk","0.1303","safety_reviewer","release_gate"
"29","41846","23179","2079","acceptable_with_note","prompting","resolved","0.4003","eval_ops_lead","customer_impact_queue"
"30","10126","19652","2345","needs_fix","tooling","accepted_risk","0.3061","qa_analyst","customer_impact_queue"
"31","13347","20457","425","pass","policy_config","accepted_risk","0.5525","qa_analyst","release_gate"
"32","3889","14783","1658","acceptable_with_note","model_reasoning","resolved","0.1736","product_manager","customer_impact_queue"
"33","8678","14820","1035","fail","model_reasoning","open","0.5099","research_scientist","customer_impact_queue"
"34","46551","12035","1824","needs_fix","dataset_issue","accepted_risk","0.1238","eval_ops_lead","release_gate"
"35","28930","24590","255","needs_fix","prompting","accepted_risk","0.0653","qa_analyst","release_gate"
"36","3390","19761","12","pass","policy_config","in_progress","0.5518","eval_ops_lead","release_gate"
"37","45348","13969","1126","needs_fix","model_reasoning","accepted_risk","0.133","qa_analyst","safety_queue"
"38","33788","23500","1490","pass","model_reasoning","in_progress","0.4462","product_manager","customer_impact_queue"
"39","35614","16761","479","acceptable_with_note","model_reasoning","resolved","0.7004","qa_analyst","release_gate"
"40","4899","22344","2177","acceptable_with_note","policy_config","accepted_risk","0.5796","product_manager","safety_queue"
"41","25472","12141","1888","fail","policy_config","resolved","0.4597","safety_reviewer","regression_queue"
"42","38535","4791","352","acceptable_with_note","prompting","resolved","0.9654","safety_reviewer","customer_impact_queue"
"43","2359","21495","796","acceptable_with_note","model_reasoning","in_progress","0.7872","product_manager","safety_queue"
"44","653","24683","2013","acceptable_with_note","dataset_issue","accepted_risk","0.743","product_manager","customer_impact_queue"
"45","11544","20766","1181","fail","policy_config","in_progress","0.9621","research_scientist","tool_use_queue"
"46","30952","9526","1174","acceptable_with_note","policy_config","in_progress","0.6842","research_scientist","customer_impact_queue"
"47","23878","9728","2859","fail","retrieval","in_progress","0.9905","product_manager","release_gate"
"48","40062","1735","755","needs_fix","retrieval","resolved","0.6009","qa_analyst","safety_queue"
"49","49436","9440","2842","needs_fix","prompting","in_progress","0.4007","eval_ops_lead","release_gate"
"50","42253","17084","2222","needs_fix","dataset_issue","in_progress","0.6267","research_scientist","customer_impact_queue"
"51","42382","15779","2823","acceptable_with_note","model_reasoning","in_progress","0.8046","eval_ops_lead","safety_queue"
