agent_tool_permission_id,agent_id,tool_id,execution_mode,active
ATP0001,A001,TOOL016,direct,true
ATP0002,A001,TOOL019,direct,true
ATP0003,A002,TOOL016,direct,true
ATP0004,A002,TOOL019,direct,true
ATP0005,A003,TOOL014,direct,true
ATP0006,A003,TOOL017,direct,true
ATP0007,A003,TOOL019,direct,true
ATP0008,A004,TOOL001,direct,true
ATP0009,A004,TOOL002,direct,true
ATP0010,A004,TOOL003,direct,true
ATP0011,A004,TOOL004,direct,true
ATP0012,A004,TOOL005,approval_required,true
ATP0013,A004,TOOL019,direct,true
ATP0014,A005,TOOL006,direct,true
ATP0015,A005,TOOL007,direct,true
ATP0016,A005,TOOL008,approval_required,true
ATP0017,A005,TOOL009,approval_required,true
ATP0018,A005,TOOL019,direct,true
ATP0019,A006,TOOL010,direct,true
ATP0020,A006,TOOL011,direct,true
ATP0021,A006,TOOL019,direct,true
ATP0022,A007,TOOL012,direct,true
ATP0023,A007,TOOL013,approval_required,true
ATP0024,A007,TOOL019,direct,true
ATP0025,A008,TOOL017,direct,true
ATP0026,A008,TOOL018,approval_required,true
ATP0027,A008,TOOL019,direct,true
ATP0028,A009,TOOL019,direct,true
ATP0029,A010,TOOL005,approval_required,true
ATP0030,A010,TOOL008,approval_required,true
ATP0031,A010,TOOL009,approval_required,true
ATP0032,A010,TOOL013,approval_required,true
ATP0033,A010,TOOL018,approval_required,true
ATP0034,A010,TOOL019,direct,true
ATP0035,A011,TOOL020,direct,true
ATP0036,A011,TOOL019,direct,true
