project_member_id,project_id,employee_id,project_role,allocation_percent,joined_on,left_on,active
PM00001,PRJ001,E0007,Project Manager,45,2025-02-14,,true
PM00002,PRJ001,E0099,QA Specialist,35,2025-02-15,,true
PM00003,PRJ001,E0111,Engineer,40,2025-02-15,,true
PM00004,PRJ001,E0192,Engineer,50,2025-01-26,,true
PM00005,PRJ001,E0072,Operations Analyst,60,2025-03-03,,true
PM00006,PRJ001,E0017,QA Specialist,60,2025-01-21,,true
PM00007,PRJ001,E0030,Operations Analyst,25,2025-02-18,,true
PM00008,PRJ001,E0079,Engineer,35,2025-01-26,,true
PM00009,PRJ001,E0096,QA Specialist,25,2025-02-03,,true
PM00010,PRJ001,E0013,Engineer,50,2025-02-07,,true
PM00011,PRJ002,E0010,Project Manager,45,2025-03-03,,true
PM00012,PRJ002,E0200,Operations Analyst,30,2025-03-07,,true
PM00013,PRJ002,E0080,Customer Experience SME,35,2025-03-05,,true
PM00014,PRJ002,E0054,Engineer,20,2025-02-08,,true
PM00015,PRJ002,E0184,Customer Experience SME,50,2025-02-15,,true
PM00016,PRJ002,E0091,Operations Analyst,60,2025-02-26,,true
PM00017,PRJ002,E0109,Operations Analyst,60,2025-02-05,,true
PM00018,PRJ002,E0072,Operations Analyst,30,2025-02-08,,true
PM00019,PRJ002,E0140,QA Specialist,25,2025-02-26,,true
PM00020,PRJ002,E0040,Customer Experience SME,40,2025-02-03,,true
PM00021,PRJ002,E0128,Engineer,40,2025-03-07,,true
PM00022,PRJ002,E0068,Engineer,40,2025-02-08,,true
PM00023,PRJ002,E0060,Operations Analyst,50,2025-02-05,,true
PM00024,PRJ002,E0105,QA Specialist,20,2025-02-13,,true
PM00025,PRJ003,E0005,Project Manager,45,2025-02-13,,true
PM00026,PRJ003,E0025,Sales SME,60,2025-03-14,,true
PM00027,PRJ003,E0027,AI/Data Specialist,40,2025-03-06,,true
PM00028,PRJ003,E0077,Engineer,25,2025-03-24,,true
PM00029,PRJ003,E0058,Engineer,50,2025-02-27,,true
