attendance_id,employee_id,period_month,scheduled_workdays,present_days,remote_work_days,sick_leave_days,unpaid_leave_days,overtime_hours,attendance_rate
AT000001,E0001,2025-09-01,23,23,0,0,0,0,1.0
AT000002,E0001,2025-10-01,20,20,1,0,0,4.7,1.0
AT000003,E0001,2025-11-01,21,21,8,0,0,0,1.0
AT000004,E0001,2025-12-01,22,22,0,0,0,0,1.0
AT000005,E0001,2026-01-01,22,22,6,0,0,0,1.0
AT000006,E0001,2026-02-01,22,22,1,0,0,0,1.0
AT000007,E0001,2026-03-01,21,20,2,0,1,5.5,0.9524
AT000008,E0001,2026-04-01,23,23,0,0,0,5.0,1.0
AT000009,E0001,2026-05-01,21,21,7,0,0,5.5,1.0
AT000010,E0001,2026-06-01,21,20,1,0,1,0,0.9524
AT000011,E0001,2026-07-01,23,23,5,0,0,5.0,1.0
AT000012,E0001,2026-08-01,23,23,3,0,0,5.6,1.0
AT000013,E0002,2025-09-01,23,23,4,0,0,0,1.0
AT000014,E0002,2025-10-01,23,22,3,0,1,1.5,0.9565
AT000015,E0002,2025-11-01,22,21,7,1,0,0,0.9545
AT000016,E0002,2025-12-01,22,22,4,0,0,0.5,1.0
AT000017,E0002,2026-01-01,20,19,1,1,0,0,0.95
AT000018,E0002,2026-02-01,22,22,6,0,0,2.1,1.0
AT000019,E0002,2026-03-01,23,23,8,0,0,0,1.0
AT000020,E0002,2026-04-01,20,20,7,0,0,4.6,1.0
AT000021,E0002,2026-05-01,20,19,3,0,1,4.9,0.95
AT000022,E0002,2026-06-01,20,20,1,0,0,0,1.0
AT000023,E0002,2026-07-01,20,20,2,0,0,0,1.0
AT000024,E0002,2026-08-01,21,21,5,0,0,5.1,1.0
AT000025,E0003,2025-09-01,23,23,0,0,0,1.3,1.0
AT000026,E0003,2025-10-01,23,23,2,0,0,1.0,1.0
AT000027,E0003,2025-11-01,20,20,0,0,0,0.9,1.0
AT000028,E0003,2025-12-01,21,21,3,0,0,5.5,1.0
AT000029,E0003,2026-01-01,21,21,6,0,0,0,1.0
AT000030,E0003,2026-02-01,23,23,8,0,0,0,1.0
AT000031,E0003,2026-03-01,23,23,5,0,0,3.0,1.0
AT000032,E0003,2026-04-01,21,21,4,0,0,5.4,1.0
AT000033,E0003,2026-05-01,20,20,2,0,0,4.7,1.0
AT000034,E0003,2026-06-01,21,19,6,1,1,1.2,0.9048
AT000035,E0003,2026-07-01,23,23,8,0,0,1.7,1.0
AT000036,E0003,2026-08-01,22,22,7,0,0,3.5,1.0
AT000037,E0004,2025-09-01,20,20,0,0,0,0,1.0
AT000038,E0004,2025-10-01,21,21,5,0,0,0,1.0
AT000039,E0004,2025-11-01,20,20,2,0,0,0,1.0
AT000040,E0004,2025-12-01,23,23,6,0,0,3.9,1.0
AT000041,E0004,2026-01-01,23,23,7,0,0,2.0,1.0
AT000042,E0004,2026-02-01,23,23,8,0,0,4.4,1.0
AT000043,E0004,2026-03-01,21,21,2,0,0,4.0,1.0
AT000044,E0004,2026-04-01,23,23,3,0,0,0.7,1.0
AT000045,E0004,2026-05-01,23,23,8,0,0,4.0,1.0
AT000046,E0004,2026-06-01,20,20,8,0,0,0,1.0
AT000047,E0004,2026-07-01,23,23,8,0,0,0,1.0
AT000048,E0004,2026-08-01,20,20,6,0,0,0,1.0
AT000049,E0005,2025-09-01,22,22,4,0,0,0,1.0
AT000050,E0005,2025-10-01,23,23,2,0,0,0.9,1.0
AT000051,E0005,2025-11-01,22,22,7,0,0,2.6,1.0
AT000052,E0005,2025-12-01,20,20,7,0,0,2.4,1.0
AT000053,E0005,2026-01-01,21,21,5,0,0,0,1.0
AT000054,E0005,2026-02-01,22,22,3,0,0,0.1,1.0
AT000055,E0005,2026-03-01,23,23,2,0,0,3.2,1.0
AT000056,E0005,2026-04-01,22,21,5,1,0,4.9,0.9545
AT000057,E0005,2026-05-01,22,22,8,0,0,0.8,1.0
AT000058,E0005,2026-06-01,20,20,6,0,0,0,1.0
AT000059,E0005,2026-07-01,21,21,5,0,0,0.2,1.0
AT000060,E0005,2026-08-01,22,20,6,1,1,0,0.9091
AT000061,E0006,2025-09-01,21,20,6,1,0,0,0.9524
AT000062,E0006,2025-10-01,23,23,6,0,0,1.9,1.0
AT000063,E0006,2025-11-01,20,20,4,0,0,0,1.0
AT000064,E0006,2025-12-01,20,20,6,0,0,0,1.0
AT000065,E0006,2026-01-01,21,21,8,0,0,0.8,1.0
AT000066,E0006,2026-02-01,20,20,4,0,0,0,1.0
AT000067,E0006,2026-03-01,22,22,4,0,0,0,1.0
AT000068,E0006,2026-04-01,20,20,5,0,0,0.7,1.0
AT000069,E0006,2026-05-01,21,21,2,0,0,0,1.0
AT000070,E0006,2026-06-01,23,23,4,0,0,0,1.0
AT000071,E0006,2026-07-01,21,20,2,1,0,2.5,0.9524
AT000072,E0006,2026-08-01,20,20,1,0,0,4.4,1.0
AT000073,E0007,2025-09-01,22,21,0,0,1,5.0,0.9545
AT000074,E0007,2025-10-01,21,20,8,1,0,0,0.9524
AT000075,E0007,2025-11-01,20,19,5,1,0,2.8,0.95
AT000076,E0007,2025-12-01,23,23,4,0,0,0,1.0
AT000077,E0007,2026-01-01,20,20,2,0,0,0,1.0
AT000078,E0007,2026-02-01,23,23,8,0,0,0,1.0
AT000079,E0007,2026-03-01,21,21,1,0,0,0,1.0
AT000080,E0007,2026-04-01,20,20,1,0,0,0.1,1.0
AT000081,E0007,2026-05-01,23,23,4,0,0,5.0,1.0
AT000082,E0007,2026-06-01,20,20,4,0,0,4.4,1.0
AT000083,E0007,2026-07-01,20,19,2,0,1,2.1,0.95
AT000084,E0007,2026-08-01,20,20,4,0,0,0,1.0
AT000085,E0008,2025-09-01,22,22,6,0,0,0,1.0
AT000086,E0008,2025-10-01,23,23,5,0,0,4.9,1.0
AT000087,E0008,2025-11-01,22,22,4,0,0,1.1,1.0
AT000088,E0008,2025-12-01,23,23,1,0,0,0,1.0
AT000089,E0008,2026-01-01,21,20,2,0,1,0,0.9524
AT000090,E0008,2026-02-01,21,21,7,0,0,1.3,1.0
AT000091,E0008,2026-03-01,23,22,8,0,1,0.4,0.9565
AT000092,E0008,2026-04-01,22,22,5,0,0,0.9,1.0
AT000093,E0008,2026-05-01,21,21,4,0,0,0.2,1.0
AT000094,E0008,2026-06-01,22,22,4,0,0,1.2,1.0
AT000095,E0008,2026-07-01,23,23,6,0,0,0,1.0
AT000096,E0008,2026-08-01,22,21,6,1,0,0,0.9545
AT000097,E0009,2025-09-01,20,20,6,0,0,8.9,1.0
AT000098,E0009,2025-10-01,22,22,8,0,0,3.5,1.0
AT000099,E0009,2025-11-01,21,21,6,0,0,4.8,1.0
AT000100,E0009,2025-12-01,21,21,1,0,0,3.6,1.0
AT000101,E0009,2026-01-01,21,21,5,0,0,10.1,1.0
AT000102,E0009,2026-02-01,21,21,8,0,0,6.6,1.0
AT000103,E0009,2026-03-01,21,21,2,0,0,9.8,1.0
AT000104,E0009,2026-04-01,22,22,3,0,0,8.2,1.0
AT000105,E0009,2026-05-01,22,22,7,0,0,1.1,1.0
AT000106,E0009,2026-06-01,20,20,4,0,0,2.4,1.0
AT000107,E0009,2026-07-01,20,20,3,0,0,10.6,1.0
AT000108,E0009,2026-08-01,20,20,6,0,0,8.0,1.0
AT000109,E0010,2025-09-01,21,21,5,0,0,3.5,1.0
AT000110,E0010,2025-10-01,20,20,7,0,0,1.2,1.0
AT000111,E0010,2025-11-01,22,22,7,0,0,0,1.0
AT000112,E0010,2025-12-01,20,19,2,0,1,0,0.95
AT000113,E0010,2026-01-01,21,21,7,0,0,3.4,1.0
AT000114,E0010,2026-02-01,21,21,6,0,0,5.3,1.0
AT000115,E0010,2026-03-01,20,19,6,1,0,2.9,0.95
AT000116,E0010,2026-04-01,21,21,1,0,0,1.5,1.0
AT000117,E0010,2026-05-01,20,20,0,0,0,3.5,1.0
AT000118,E0010,2026-06-01,20,19,4,1,0,0,0.95
AT000119,E0010,2026-07-01,22,21,3,0,1,0,0.9545
AT000120,E0010,2026-08-01,20,20,0,0,0,5.7,1.0
AT000121,E0011,2025-09-01,21,21,6,0,0,1.0,1.0
AT000122,E0011,2025-10-01,20,20,8,0,0,3.3,1.0
AT000123,E0011,2025-11-01,21,21,6,0,0,0,1.0
AT000124,E0011,2025-12-01,22,22,6,0,0,5.8,1.0
AT000125,E0011,2026-01-01,21,21,8,0,0,2.7,1.0
AT000126,E0011,2026-02-01,20,20,7,0,0,0,1.0
AT000127,E0011,2026-03-01,23,23,3,0,0,0,1.0
