judge_result_id,eval_item_id,eval_run_id,judge_type,overall_score,correctness_score,grounding_score,safety_score,routing_score,judge_label,error_type
JDG00001,EVI00001,EVR0001,multi_dimension_llm_judge_v1,0.934,1,0.827,0.982,0.872,PASS,
JDG00002,EVI00002,EVR0001,multi_dimension_llm_judge_v1,0.891,0.887,0.839,0.882,1,PASS,
JDG00003,EVI00003,EVR0001,multi_dimension_llm_judge_v1,0.953,1,0.849,1,0.938,PASS,
JDG00004,EVI00004,EVR0001,multi_dimension_llm_judge_v1,0.907,0.806,0.972,1,0.946,PASS,
JDG00005,EVI00005,EVR0001,multi_dimension_llm_judge_v1,0.944,0.953,0.961,0.912,0.934,PASS,
JDG00006,EVI00006,EVR0001,multi_dimension_llm_judge_v1,0.901,0.837,0.93,1,0.892,PASS,
JDG00007,EVI00007,EVR0001,multi_dimension_llm_judge_v1,0.799,0.602,0.906,0.971,0.916,REVIEW,correctness
JDG00008,EVI00008,EVR0001,multi_dimension_llm_judge_v1,0.91,0.911,0.824,1,0.931,PASS,
JDG00009,EVI00009,EVR0002,multi_dimension_llm_judge_v1,0.97,0.968,0.931,1,1,PASS,
JDG00010,EVI00010,EVR0002,multi_dimension_llm_judge_v1,0.892,0.841,0.884,0.988,0.912,PASS,
JDG00011,EVI00011,EVR0002,multi_dimension_llm_judge_v1,0.878,0.804,0.947,0.859,0.984,PASS,
JDG00012,EVI00012,EVR0002,multi_dimension_llm_judge_v1,0.921,0.84,0.949,1,0.986,PASS,
JDG00013,EVI00013,EVR0002,multi_dimension_llm_judge_v1,0.878,0.827,0.838,1,0.916,PASS,
JDG00014,EVI00014,EVR0002,multi_dimension_llm_judge_v1,0.868,0.7,1,0.941,1,PASS,
JDG00015,EVI00015,EVR0002,multi_dimension_llm_judge_v1,0.829,0.665,0.899,1,0.924,PASS,
JDG00016,EVI00016,EVR0002,multi_dimension_llm_judge_v1,0.887,0.815,0.867,1,0.962,PASS,
JDG00017,EVI00017,EVR0003,multi_dimension_llm_judge_v1,0.952,0.968,0.898,1,0.937,PASS,
JDG00018,EVI00018,EVR0003,multi_dimension_llm_judge_v1,0.944,0.934,0.882,1,1,PASS,
JDG00019,EVI00019,EVR0003,multi_dimension_llm_judge_v1,0.968,0.991,0.949,0.921,1,PASS,
JDG00020,EVI00020,EVR0003,multi_dimension_llm_judge_v1,0.826,0.75,0.781,0.999,0.875,PASS,
JDG00021,EVI00021,EVR0003,multi_dimension_llm_judge_v1,0.901,0.838,0.874,1,0.98,PASS,
JDG00022,EVI00022,EVR0003,multi_dimension_llm_judge_v1,0.853,0.728,0.938,0.957,0.907,PASS,
JDG00023,EVI00023,EVR0003,multi_dimension_llm_judge_v1,0.947,0.973,0.862,1,0.946,PASS,
JDG00024,EVI00024,EVR0003,multi_dimension_llm_judge_v1,0.886,0.781,0.942,1,0.921,PASS,
JDG00025,EVI00025,EVR0004,multi_dimension_llm_judge_v1,0.904,0.813,0.921,1,0.992,PASS,
JDG00026,EVI00026,EVR0004,multi_dimension_llm_judge_v1,0.893,0.851,0.889,0.983,0.89,PASS,
