"metric_id","program_id","metric_date","eval_runs_total","items_total","pass_rate","review_rate","regression_rate","judge_human_disagreement_rate","hallucination_rate"
"1","281","2025-10-31","21","576","0.7366","0.4032","0.0896","0.072","0.081"
"2","188","2025-07-23","27","1132","0.4531","0.121","0.2454","0.1201","0.0961"
"3","267","2025-02-18","32","62","0.8148","0.265","0.1863","0.1472","0.1001"
"4","231","2025-06-19","28","124","0.5266","0.0103","0.2553","0.1493","0.0462"
"5","525","2025-07-25","17","932","0.6269","0.3578","0.0417","0.2137","0.1181"
"6","47","2025-01-18","36","830","0.4716","0.4479","0.1281","0.0353","0.0506"
"7","308","2025-01-25","11","125","0.897","0.2215","0.2402","0.2093","0.06"
"8","498","2025-05-12","32","699","0.5208","0.1798","0.083","0.1399","0.0855"
"9","21","2025-07-19","29","665","0.9147","0.0667","0.0856","0.0794","0.0327"
"10","459","2025-04-16","23","494","0.9875","0.28","0.0054","0.0113","0.0719"
"11","397","2025-06-19","11","686","0.9305","0.1934","0.1132","0.1398","0.1584"
"12","557","2025-01-26","9","140","0.8254","0.2954","0.1551","0.2074","0.1653"
"13","47","2025-01-06","10","1078","0.8462","0.075","0.2568","0.0513","0.1237"
"14","623","2025-03-05","8","61","0.7609","0.3559","0.0384","0.0952","0.0526"
"15","394","2025-06-19","36","989","0.6186","0.3598","0.0397","0.1434","0.1158"
"16","583","2025-07-06","14","723","0.6924","0.0304","0.1234","0.0385","0.0284"
"17","174","2025-10-29","8","589","0.4536","0.193","0.2275","0.1534","0.0963"
"18","580","2025-12-25","3","386","0.6035","0.3846","0.0389","0.0067","0.1624"
"19","220","2025-06-20","13","383","0.6806","0.2171","0.1859","0.1136","0.1155"
"20","602","2025-02-11","24","84","0.8128","0.2936","0.2039","0.0616","0.1202"
"21","338","2025-06-02","25","1096","0.5258","0.4333","0.2532","0.0278","0.164"
"22","525","2025-02-18","28","686","0.9877","0.3988","0.1734","0.216","0.1035"
"23","131","2025-09-04","8","902","0.4678","0.0217","0.2219","0.2171","0.0637"
"24","570","2025-05-17","26","207","0.9644","0.0716","0.1373","0.0244","0.162"
"25","323","2025-05-09","39","190","0.6073","0.3721","0.0574","0.0477","0.1559"
"26","581","2025-02-06","18","1152","0.9843","0.1738","0.055","0.152","0.1291"
"27","70","2025-11-19","15","946","0.5503","0.2657","0.2009","0.1801","0.0469"
"28","199","2025-03-03","21","926","0.9855","0.0467","0.0518","0.1953","0.0194"
"29","200","2025-11-16","30","36","0.6148","0.0726","0.0119","0.1104","0.0524"
"30","295","2025-02-12","14","383","0.6483","0.1332","0.0708","0.0906","0.0047"
"31","506","2025-04-08","10","326","0.8063","0.0684","0.0385","0.0713","0.1093"
"32","189","2025-01-14","8","832","0.6074","0.1769","0.0027","0.0659","0.1738"
"33","543","2025-07-12","14","180","0.5156","0.4283","0.2541","0.0693","0.0764"
"34","361","2025-05-12","29","1179","0.5832","0.3618","0.254","0.1248","0.1446"
"35","151","2025-03-27","40","283","0.8271","0.1554","0.0071","0.0941","0.101"
"36","113","2025-07-28","31","281","0.9724","0.4157","0.2418","0.0562","0.1156"
"37","356","2025-10-21","20","782","0.6911","0.2686","0.0045","0.097","0.0048"
"38","41","2025-11-27","34","775","0.7488","0.0752","0.2117","0.2037","0.1674"
"39","421","2025-05-03","38","506","0.5663","0.1521","0.1466","0.1656","0.1121"
"40","108","2025-10-31","19","130","0.8367","0.4408","0.1251","0.0802","0.1393"
"41","115","2025-03-15","4","218","0.7955","0.1978","0.0778","0.2061","0.1382"
"42","368","2025-09-09","18","567","0.985","0.2481","0.2688","0.0909","0.07"
"43","614","2025-03-27","30","757","0.9491","0.4399","0.1338","0.1027","0.0227"
"44","362","2025-07-07","20","1018","0.8138","0.0524","0.2196","0.1544","0.1268"
"45","567","2025-12-15","40","961","0.5105","0.1884","0.1448","0.1598","0.0618"
"46","460","2025-07-18","11","336","0.9405","0.264","0.1685","0.1531","0.0052"
"47","323","2025-10-17","9","587","0.9062","0.2731","0.0719","0.2011","0.1539"
"48","609","2025-11-19","30","410","0.5399","0.309","0.1437","0.1942","0.0826"
"49","539","2025-06-18","3","854","0.4986","0.3311","0.1306","0.0453","0.1737"
"50","94","2025-08-27","18","1176","0.5836","0.2067","0.0415","0.1349","0.1319"
"51","391","2025-11-30","35","562","0.8852","0.1291","0.1034","0.2146","0.1126"
"52","144","2025-04-20","23","356","0.6576","0.0816","0.2457","0.0038","0.0517"
"53","598","2025-06-29","16","857","0.9847","0.0807","0.1475","0.1658","0.034"
"54","225","2025-05-04","2","1069","0.9061","0.4123","0.1982","0.1658","0.103"
"55","308","2025-12-03","11","680","0.718","0.3539","0.1197","0.1648","0.1289"
"56","579","2025-08-23","22","154","0.8144","0.1546","0.0369","0.0502","0.1367"
"57","461","2025-05-13","22","101","0.6801","0.047","0.2","0.0787","0.0648"
"58","69","2025-05-26","36","1000","0.9389","0.0314","0.1372","0.1357","0.106"
"59","369","2025-10-11","10","802","0.7558","0.3741","0.0512","0.1764","0.101"
"60","452","2025-03-27","40","865","0.831","0.2339","0.0508","0.1856","0.0773"
"61","277","2025-11-22","26","633","0.7742","0.1021","0.0177","0.0722","0.1699"
"62","316","2025-02-05","26","456","0.5835","0.3911","0.0499","0.215","0.1106"
"63","180","2025-12-15","25","621","0.8348","0.0201","0.0131","0.215","0.0552"
"64","354","2025-04-04","16","243","0.6527","0.1341","0.1099","0.0775","0.1779"
"65","57","2025-05-26","21","212","0.9725","0.4115","0.2147","0.1704","0.0288"
"66","71","2025-01-14","38","688","0.9137","0.1674","0.0597","0.2109","0.1396"
"67","183","2025-08-09","13","1118","0.9892","0.0622","0.0111","0.049","0.1626"
"68","234","2025-11-18","1","95","0.5994","0.186","0.1546","0.0984","0.0877"
"69","318","2025-08-21","10","1119","0.6155","0.2335","0.2212","0.1481","0.0527"
"70","465","2025-12-30","18","461","0.6038","0.1254","0.1979","0.123","0.0417"
"71","377","2025-05-27","15","1013","0.7808","0.3465","0.2286","0.1989","0.0764"
"72","457","2025-04-02","28","724","0.911","0.0955","0.0335","0.075","0.0486"
"73","113","2025-01-22","33","805","0.501","0.2161","0.0198","0.2055","0.1211"
"74","85","2025-12-11","31","752","0.7732","0.3374","0.0804","0.1763","0.087"
"75","94","2025-02-11","35","351","0.6079","0.1788","0.0834","0.1876","0.0711"
"76","457","2025-07-18","2","25","0.6277","0.0907","0.2084","0.1392","0.0876"
"77","429","2025-09-12","17","322","0.6578","0.1364","0.0894","0.0321","0.1326"
"78","328","2025-03-23","3","484","0.9168","0.1078","0.1535","0.0237","0.1734"
"79","360","2025-03-02","18","991","0.7788","0.1393","0.043","0.1707","0.1618"
"80","3","2025-11-26","25","405","0.909","0.178","0.2603","0.1514","0.0394"
"81","112","2025-07-29","3","899","0.5457","0.1658","0.0061","0.2071","0.1261"
"82","12","2025-04-11","27","1152","0.7661","0.0593","0.2433","0.1236","0.1622"
"83","349","2025-01-21","9","179","0.7375","0.3211","0.2291","0.077","0.0262"
"84","520","2025-05-23","32","392","0.4596","0.1731","0.0148","0.0155","0.1033"
"85","435","2025-05-28","18","1008","0.4811","0.4109","0.0427","0.0597","0.1359"
"86","414","2025-02-26","10","923","0.6229","0.3292","0.2452","0.174","0.1605"
"87","615","2025-08-07","9","713","0.6506","0.0681","0.0755","0.1132","0.0321"
"88","233","2025-08-01","9","99","0.6804","0.2679","0.053","0.1741","0.0956"
"89","256","2025-03-31","11","660","0.9905","0.2503","0.1162","0.1198","0.0907"
"90","260","2025-05-11","9","102","0.5201","0.2625","0.1216","0.0024","0.1077"
"91","604","2025-11-17","30","669","0.8921","0.3285","0.0623","0.0446","0.1061"
"92","375","2025-02-01","17","1047","0.6559","0.1886","0.107","0.0352","0.0874"
"93","574","2025-11-08","11","489","0.5249","0.0341","0.2386","0.0395","0.1218"
"94","400","2025-10-27","8","775","0.715","0.4418","0.0831","0.1589","0.0236"
"95","559","2025-07-20","28","74","0.5554","0.161","0.1894","0.2066","0.1594"
"96","257","2025-08-31","32","795","0.5076","0.1703","0.0851","0.1468","0.1779"
"97","245","2025-10-02","24","1141","0.8535","0.3859","0.135","0.1446","0.1699"
"98","93","2025-03-27","8","800","0.8226","0.1172","0.0679","0.003","0.0779"
"99","331","2025-09-23","19","224","0.4741","0.4232","0.0734","0.1922","0.0409"
"100","214","2025-10-18","25","474","0.9722","0.0541","0.0893","0.106","0.1277"
"101","504","2025-12-16","16","377","0.5625","0.2827","0.08","0.0502","0.0971"
"102","42","2025-08-21","30","164","0.4808","0.2877","0.2015","0.0041","0.1374"
"103","274","2025-08-01","27","631","0.953","0.1709","0.148","0.1329","0.0284"
"104","126","2025-03-15","20","376","0.5261","0.0754","0.1819","0.0973","0.0378"
"105","594","2025-12-18","7","944","0.5645","0.3332","0.1003","0.112","0.023"
"106","169","2025-07-12","22","274","0.7982","0.2108","0.1072","0.0971","0.154"
"107","12","2025-04-04","15","324","0.9164","0.1763","0.0205","0.1126","0.1433"
"108","498","2025-09-03","14","187","0.5021","0.0751","0.0843","0.1323","0.0071"
"109","405","2025-03-05","12","269","0.7081","0.3416","0.2662","0.0621","0.1298"
"110","556","2025-03-08","26","1040","0.4646","0.204","0.1479","0.1546","0.1296"
"111","199","2025-04-09","6","1064","0.6999","0.3709","0.0235","0.0719","0.0931"
"112","111","2025-10-08","29","142","0.9558","0.2647","0.0231","0.0485","0.0339"
"113","503","2025-12-11","34","115","0.6646","0.3062","0.0884","0.0936","0.1199"
"114","309","2025-11-01","25","51","0.7727","0.3531","0.1465","0.0912","0.0839"
"115","60","2025-11-21","18","509","0.8418","0.0124","0.2552","0.2177","0.1381"
"116","391","2025-08-21","16","596","0.7358","0.2345","0.2185","0.0004","0.0417"
"117","415","2025-07-26","34","231","0.7581","0.2773","0.1045","0.0136","0.0362"
"118","520","2025-02-21","12","100","0.5251","0.2084","0.0269","0.2138","0.0478"
"119","91","2025-04-17","38","395","0.8389","0.0981","0.2788","0.2072","0.1375"
"120","552","2025-12-28","28","103","0.6597","0.4112","0.144","0.1533","0.0507"
"121","239","2025-01-28","1","259","0.8688","0.2864","0.1642","0.1453","0.0686"
"122","55","2025-04-12","38","690","0.4935","0.1539","0.142","0.1032","0.1678"
"123","9","2025-05-26","21","155","0.6617","0.1746","0.1633","0.0798","0.0693"
"124","242","2025-11-30","24","343","0.4745","0.2362","0.1866","0.0114","0.1271"
"125","505","2025-09-09","17","1170","0.6792","0.4014","0.2081","0.1218","0.161"
"126","219","2025-07-14","19","1146","0.6763","0.3856","0.2412","0.048","0.0233"
"127","195","2025-09-25","10","22","0.7854","0.0168","0.249","0.0207","0.151"
"128","259","2025-01-25","35","1064","0.9149","0.1681","0.0939","0.2106","0.1405"
"129","259","2025-06-14","40","539","0.5603","0.1632","0.1284","0.0067","0.139"
"130","85","2025-02-01","16","733","0.5924","0.0271","0.1176","0.0802","0.0585"
"131","335","2025-06-14","37","562","0.9481","0.3971","0.2793","0.0089","0.0423"
"132","283","2025-02-06","7","34","0.9926","0.1317","0.2564","0.1813","0.1731"
"133","183","2025-04-13","30","791","0.6095","0.3367","0.216","0.0686","0.1447"
"134","538","2025-11-03","13","906","0.6117","0.4461","0.1256","0.1813","0.1352"
"135","19","2025-06-24","5","595","0.7067","0.4401","0.1048","0.0316","0.1155"
"136","315","2025-07-10","12","878","0.7245","0.2487","0.2477","0.0758","0.0866"
"137","381","2025-01-07","5","49","0.9087","0.2082","0.1098","0.1429","0.1464"
"138","462","2025-08-24","8","526","0.6221","0.3621","0.0296","0.1112","0.1201"
"139","54","2025-12-13","26","141","0.6875","0.0167","0.1846","0.0996","0.0912"
"140","621","2025-07-02","16","165","0.9455","0.2199","0.1704","0.1837","0.0642"
"141","398","2025-07-19","22","536","0.6078","0.0365","0.136","0.1307","0.1416"
"142","372","2025-12-08","21","367","0.818","0.3176","0.2058","0.2063","0.1782"
"143","241","2025-08-10","30","1021","0.8776","0.0881","0.146","0.1984","0.1189"
"144","161","2025-06-25","19","356","0.7997","0.3597","0.1441","0.0467","0.0993"
"145","385","2025-01-01","22","1143","0.6032","0.0207","0.206","0.1943","0.12"
"146","331","2025-12-04","11","173","0.5554","0.3415","0.0694","0.0982","0.1504"
"147","257","2025-02-15","26","755","0.662","0.3805","0.1909","0.2107","0.1007"
"148","293","2025-04-06","12","1015","0.6644","0.1843","0.2014","0.0907","0.0972"
"149","46","2025-05-21","26","356","0.6954","0.417","0.2666","0.2106","0.0093"
"150","544","2025-06-01","26","562","0.9766","0.1158","0.148","0.148","0.1786"
"151","145","2025-11-19","11","1102","0.7171","0.1877","0.2007","0.0036","0.0085"
