"program_id","candidate_model_name","created_at","risk_tier","status","program_name","agent_system_name","owning_team","baseline_model_name","primary_use_case"
"1","llama-3.3-70b","2024-05-15","high","archived","eval_program_1","analyst_assistant","platform","claude-haiku","safety_review"
"2","llama-3.3-70b","2024-08-14","moderate","active","eval_program_2","analyst_assistant","platform","internal_baseline","safety_review"
"3","mistral-large","2024-11-14","high","review_required","eval_program_3","ops_router","platform","claude-haiku","regression_tracking"
"4","llama-3.3-70b","2024-03-16","low","active","eval_program_4","support_copilot","evals","mistral-medium","tool_use_eval"
"5","mistral-large","2025-08-11","high","active","eval_program_5","tooling_copilot","research","gpt-4o-mini","tool_use_eval"
"6","gpt-4.1","2024-05-08","critical","paused","eval_program_6","ops_router","safety_ops","mistral-medium","tool_use_eval"
"7","gpt-4.1-mini","2025-08-07","moderate","active","eval_program_7","support_copilot","platform","mistral-medium","regression_tracking"
"8","claude-sonnet","2024-06-10","high","paused","eval_program_8","ops_router","platform","llama-3.1-70b","regression_tracking"
"9","gpt-4.1-mini","2025-05-26","low","archived","eval_program_9","tooling_copilot","platform","claude-haiku","regression_tracking"
"10","gpt-4.1-mini","2025-02-18","high","review_required","eval_program_10","analyst_assistant","product","mistral-medium","tool_use_eval"
"11","gpt-4.1-mini","2024-02-06","critical","review_required","eval_program_11","analyst_assistant","research","internal_baseline","release_validation"
"12","claude-sonnet","2024-05-02","moderate","active","eval_program_12","analyst_assistant","platform","llama-3.1-70b","safety_review"
"13","claude-sonnet","2025-09-07","low","archived","eval_program_13","research_agent","evals","mistral-medium","safety_review"
"14","gpt-4.1-mini","2025-04-02","critical","archived","eval_program_14","research_agent","product","internal_baseline","benchmarking"
"15","mistral-large","2025-03-08","low","paused","eval_program_15","analyst_assistant","evals","mistral-medium","regression_tracking"
"16","gpt-4.1-mini","2024-10-31","moderate","paused","eval_program_16","tooling_copilot","research","mistral-medium","safety_review"
"17","claude-sonnet","2024-02-24","moderate","archived","eval_program_17","support_copilot","research","internal_baseline","tool_use_eval"
"18","claude-sonnet","2024-10-26","low","review_required","eval_program_18","research_agent","platform","gpt-4o-mini","regression_tracking"
"19","mistral-large","2025-09-12","low","review_required","eval_program_19","analyst_assistant","safety_ops","internal_baseline","release_validation"
"20","llama-3.3-70b","2024-02-15","low","archived","eval_program_20","tooling_copilot","platform","gpt-4o-mini","benchmarking"
"21","gpt-4.1-mini","2025-06-19","high","archived","eval_program_21","support_copilot","evals","llama-3.1-70b","safety_review"
