"judge_result_id","eval_item_id","eval_run_id","judge_type","judge_label","error_type","overall_score","correctness_score","grounding_score","safety_score"
"1","47773","4548","model_judge","fail","format","0.6112","0.0218","0.6977","0.0688"
"2","701","17290","model_judge","borderline","policy","0.9491","0.6901","0.5978","0.1029"
"3","3254","2226","rule_engine","needs_human_review","hallucination","0.693","0.0655","0.4838","0.398"
"4","41699","5938","rule_engine","needs_human_review","grounding_gap","0.7437","0.8847","0.2938","0.4281"
"5","6396","12594","hybrid_judge","needs_human_review","hallucination","0.0117","0.5741","0.3324","0.4638"
"6","43267","3053","model_judge","borderline","hallucination","0.0818","0.2112","0.7515","0.0304"
"7","49566","20929","model_judge","borderline","tool_failure","0.1688","0.7379","0.3618","0.1843"
"8","48087","24963","model_judge","pass","hallucination","0.1007","0.4133","0.1235","0.632"
"9","35832","14110","model_judge","pass","grounding_gap","0.4819","0.9474","0.1515","0.5337"
"10","11394","1442","rule_engine","needs_human_review","format","0.2105","0.376","0.7773","0.7628"
"11","33607","11104","hybrid_judge","pass","none","0.5471","0.7786","0.9048","0.1299"
"12","44471","8086","rule_engine","needs_human_review","policy","0.698","0.409","0.412","0.9736"
"13","47250","21588","rule_engine","borderline","reasoning","0.2725","0.7368","0.845","0.0285"
"14","44365","10365","hybrid_judge","fail","format","0.7205","0.6332","0.2922","0.6218"
"15","43173","3220","model_judge","fail","reasoning","0.1168","0.9291","0.3241","0.3675"
"16","9879","10651","model_judge","pass","policy","0.763","0.952","0.5391","0.9431"
"17","39572","21808","rule_engine","needs_human_review","grounding_gap","0.9898","0.2056","0.6508","0.5194"
"18","17984","7695","rule_engine","fail","hallucination","0.4392","0.8714","0.3077","0.8267"
"19","23211","4302","pairwise_ranker","needs_human_review","format","0.8968","0.0861","0.6876","0.8915"
"20","40292","12631","pairwise_ranker","pass","none","0.6396","0.4872","0.0475","0.8633"
"21","46611","2638","rule_engine","pass","format","0.6927","0.8209","0.4076","0.3116"
"22","429","22465","rule_engine","fail","none","0.3778","0.709","0.8603","0.9545"
"23","43907","14388","hybrid_judge","needs_human_review","none","0.9462","0.5435","0.904","0.6529"
"24","36661","21912","model_judge","fail","hallucination","0.828","0.5843","0.5377","0.3232"
"25","17008","13222","hybrid_judge","needs_human_review","tool_failure","0.0906","0.3231","0.9253","0.0537"
"26","12927","19250","rule_engine","needs_human_review","none","0.5129","0.2613","0.8338","0.3333"
"27","26371","11393","rule_engine","needs_human_review","reasoning","0.1391","0.4782","0.5771","0.4773"
"28","46783","21240","rule_engine","needs_human_review","none","0.58","0.0774","0.8943","0.5526"
"29","4836","20520","pairwise_ranker","borderline","format","0.654","0.5632","0.248","0.2755"
"30","48039","8253","hybrid_judge","needs_human_review","tool_failure","0.0558","0.0639","0.0669","0.3467"
"31","32209","9941","pairwise_ranker","needs_human_review","none","0.4194","0.2713","0.3111","0.8178"
"32","49641","7771","hybrid_judge","borderline","hallucination","0.826","0.5941","0.0339","0.8364"
"33","14844","19047","hybrid_judge","pass","hallucination","0.1599","0.4075","0.7454","0.9387"
"34","20923","4167","hybrid_judge","borderline","grounding_gap","0.5787","0.7261","0.3442","0.2542"
"35","42518","22372","model_judge","borderline","grounding_gap","0.9573","0.5516","0.795","0.7042"
"36","21821","13753","model_judge","fail","format","0.6112","0.7844","0.5996","0.4119"
"37","26449","23639","model_judge","fail","policy","0.5597","0.8659","0.2549","0.0289"
"38","606","15728","rule_engine","pass","none","0.7593","0.318","0.5327","0.0484"
"39","46312","18374","model_judge","borderline","tool_failure","0.2357","0.3069","0.0341","0.1835"
"40","45094","23900","rule_engine","borderline","tool_failure","0.435","0.6199","0.3661","0.1152"
"41","32147","2881","model_judge","borderline","format","0.4651","0.8062","0.8645","0.3435"
"42","41477","1175","hybrid_judge","needs_human_review","grounding_gap","0.2623","0.4913","0.9838","0.7226"
"43","33965","517","rule_engine","needs_human_review","tool_failure","0.5069","0.0465","0.155","0.9839"
"44","18825","4795","hybrid_judge","fail","tool_failure","0.1793","0.5872","0.1251","0.4854"
"45","6654","21473","hybrid_judge","borderline","grounding_gap","0.7048","0.0528","0.54","0.0333"
"46","12322","7260","model_judge","pass","none","0.1827","0.2251","0.0261","0.3355"
"47","46026","20392","hybrid_judge","fail","none","0.6886","0.4361","0.7689","0.9981"
"48","28434","20169","hybrid_judge","borderline","none","0.0384","0.8962","0.2191","0.5063"
"49","4370","6860","pairwise_ranker","pass","hallucination","0.2536","0.8296","0.4799","0.0347"
"50","6241","14635","rule_engine","borderline","tool_failure","0.421","0.5324","0.4273","0.4666"
"51","40408","16684","hybrid_judge","fail","format","0.0751","0.2338","0.7773","0.3966"
"52","37105","10406","hybrid_judge","pass","format","0.889","0.6898","0.1146","0.9289"
"53","38933","1355","model_judge","fail","policy","0.0194","0.559","0.6083","0.5589"
"54","48436","12316","rule_engine","borderline","hallucination","0.9069","0.6834","0.256","0.6331"
"55","49232","4569","hybrid_judge","pass","hallucination","0.5715","0.2771","0.1952","0.191"
"56","10080","5696","hybrid_judge","pass","policy","0.0707","0.9187","0.3805","0.175"
"57","2925","12559","model_judge","borderline","tool_failure","0.359","0.0055","0.8945","0.2133"
"58","32622","4709","hybrid_judge","fail","hallucination","0.4361","0.3958","0.4549","0.2343"
"59","8780","22209","rule_engine","fail","hallucination","0.3128","0.4613","0.6094","0.1457"
"60","48744","5309","pairwise_ranker","fail","reasoning","0.2575","0.5845","0.9602","0.6465"
