dependency_id,project_id,predecessor_task_id,successor_task_id,dependency_type
TD00001,PRJ001,T00001,T00002,Start-to-Start
TD00002,PRJ001,T00001,T00003,Finish-to-Finish
TD00003,PRJ001,T00002,T00004,Finish-to-Start
TD00004,PRJ001,T00004,T00005,Start-to-Start
TD00005,PRJ001,T00008,T00010,Start-to-Start
TD00006,PRJ001,T00009,T00011,Start-to-Start
TD00007,PRJ001,T00009,T00012,Finish-to-Start
TD00008,PRJ001,T00011,T00013,Start-to-Start
TD00009,PRJ001,T00011,T00014,Start-to-Start
TD00010,PRJ001,T00014,T00017,Finish-to-Start
TD00011,PRJ001,T00017,T00018,Start-to-Start
TD00012,PRJ001,T00017,T00019,Finish-to-Start
TD00013,PRJ001,T00020,T00021,Finish-to-Start
TD00014,PRJ001,T00024,T00027,Start-to-Start
TD00015,PRJ001,T00030,T00031,Start-to-Start
TD00016,PRJ001,T00030,T00033,Finish-to-Finish
TD00017,PRJ002,T00034,T00036,Finish-to-Start
TD00018,PRJ002,T00036,T00039,Start-to-Start
TD00019,PRJ002,T00039,T00040,Finish-to-Finish
TD00020,PRJ002,T00038,T00041,Finish-to-Start
TD00021,PRJ002,T00040,T00043,Finish-to-Finish
TD00022,PRJ002,T00045,T00047,Finish-to-Finish
TD00023,PRJ002,T00046,T00048,Finish-to-Finish
TD00024,PRJ002,T00048,T00049,Start-to-Start
TD00025,PRJ002,T00049,T00051,Finish-to-Finish
TD00026,PRJ002,T00051,T00052,Finish-to-Start
TD00027,PRJ002,T00050,T00053,Finish-to-Start
TD00028,PRJ002,T00053,T00055,Finish-to-Start
TD00029,PRJ002,T00053,T00056,Finish-to-Start
TD00030,PRJ002,T00055,T00058,Start-to-Start
TD00031,PRJ002,T00059,T00061,Finish-to-Finish
TD00032,PRJ002,T00062,T00064,Finish-to-Finish
TD00033,PRJ003,T00066,T00067,Finish-to-Finish
TD00034,PRJ003,T00068,T00069,Finish-to-Finish
TD00035,PRJ003,T00069,T00070,Finish-to-Start
TD00036,PRJ003,T00068,T00071,Start-to-Start
TD00037,PRJ003,T00069,T00072,Finish-to-Finish
TD00038,PRJ003,T00072,T00073,Start-to-Start
TD00039,PRJ003,T00073,T00075,Finish-to-Finish
TD00040,PRJ003,T00074,T00077,Finish-to-Finish
TD00041,PRJ003,T00077,T00078,Start-to-Start
TD00042,PRJ003,T00079,T00080,Finish-to-Finish
TD00043,PRJ003,T00079,T00081,Start-to-Start
TD00044,PRJ003,T00081,T00082,Finish-to-Start
TD00045,PRJ003,T00081,T00083,Finish-to-Finish
TD00046,PRJ003,T00082,T00084,Finish-to-Start
TD00047,PRJ003,T00085,T00086,Finish-to-Finish
TD00048,PRJ003,T00089,T00091,Start-to-Start
TD00049,PRJ003,T00090,T00093,Finish-to-Start
TD00050,PRJ003,T00091,T00094,Finish-to-Finish
TD00051,PRJ003,T00094,T00096,Start-to-Start
TD00052,PRJ004,T00100,T00101,Finish-to-Start
TD00053,PRJ004,T00100,T00103,Finish-to-Finish
TD00054,PRJ004,T00103,T00105,Finish-to-Finish
TD00055,PRJ004,T00104,T00106,Finish-to-Start
TD00056,PRJ004,T00107,T00108,Finish-to-Finish
TD00057,PRJ004,T00108,T00109,Start-to-Start
TD00058,PRJ004,T00108,T00110,Finish-to-Start
TD00059,PRJ004,T00109,T00111,Finish-to-Finish
TD00060,PRJ004,T00110,T00113,Start-to-Start
TD00061,PRJ004,T00112,T00115,Start-to-Start
TD00062,PRJ004,T00117,T00118,Finish-to-Start
