agent_execution_log_id,workflow_run_id,sequence_number,agent_id,tool_id,started_at,completed_at,duration_ms,input_summary,output_summary,status,confidence_score,input_tokens,output_tokens,estimated_cost_usd,error_type
AEL000001,WFR00001,1,A001,TOOL019,2026-01-09T08:52:00,2026-01-09T08:52:00.777000,777,What is the remote-work policy?,Request classified and task plan created.,Success,0.982,579,92,0.00707,
AEL000002,WFR00001,2,A002,TOOL016,2026-01-09T08:52:00.826000,2026-01-09T08:52:01.120000,294,What is the remote-work policy?,RBAC and resource-scope decision completed.,Success,0.867,752,304,0.00765,
AEL000003,WFR00001,3,A003,TOOL017,2026-01-09T08:52:01.168000,2026-01-09T08:52:02.374000,1206,What is the remote-work policy?,Authorized document evidence retrieved.,Success,0.947,935,43,0.00431,
AEL000004,WFR00001,4,A008,TOOL017,2026-01-09T08:52:02.393000,2026-01-09T08:52:03.409000,1016,What is the remote-work policy?,"Correctness, grounding, and safety validated.",Success,0.904,703,317,0.00045,
AEL000005,WFR00001,5,A009,TOOL019,2026-01-09T08:52:03.478000,2026-01-09T08:52:03.997000,519,What is the remote-work policy?,Evidence-based explanation generated.,Success,0.849,284,163,0.01166,
AEL000006,WFR00002,1,A001,TOOL016,2026-08-11T08:31:00,2026-08-11T08:31:00.787000,787,Analyze Project Atlas status.,Request classified and task plan created.,Success,0.919,544,76,0.01063,
AEL000007,WFR00002,2,A002,TOOL016,2026-08-11T08:31:00.854000,2026-08-11T08:31:01.350000,496,Analyze Project Atlas status.,RBAC and resource-scope decision completed.,Success,0.969,336,309,0.0059,
AEL000008,WFR00002,3,A005,TOOL019,2026-08-11T08:31:01.405000,2026-08-11T08:31:02.154000,749,Analyze Project Atlas status.,Project and task data query completed.,Success,0.974,547,304,0.0071,
AEL000009,WFR00002,4,A008,TOOL018,2026-08-11T08:31:02.214000,2026-08-11T08:31:03.522000,1308,Analyze Project Atlas status.,"Correctness, grounding, and safety validated.",Recovered,0.817,546,295,0.00482,transient_tool_timeout
AEL000010,WFR00002,5,A009,TOOL019,2026-08-11T08:31:03.600000,2026-08-11T08:31:04.349000,749,Analyze Project Atlas status.,Evidence-based explanation generated.,Success,0.867,152,163,0.00337,
AEL000011,WFR00003,1,A001,TOOL016,2026-01-03T12:09:00,2026-01-03T12:09:00.167000,167,Compare project risk with current team capacity.,Request classified and task plan created.,Success,0.816,330,384,0.01171,
AEL000012,WFR00003,2,A002,TOOL016,2026-01-03T12:09:00.207000,2026-01-03T12:09:00.903000,696,Compare project risk with current team capacity.,RBAC and resource-scope decision completed.,Success,0.821,178,43,0.01099,
AEL000013,WFR00003,3,A004,TOOL004,2026-01-03T12:09:00.926000,2026-01-03T12:09:01.658000,732,Compare project risk with current team capacity.,HR data query completed.,Success,0.869,830,239,0.00417,
AEL000014,WFR00003,4,A005,TOOL006,2026-01-03T12:09:01.719000,2026-01-03T12:09:02.272000,553,Compare project risk with current team capacity.,Project and task data query completed.,Success,0.988,292,207,0.00334,
AEL000015,WFR00003,5,A008,TOOL017,2026-01-03T12:09:02.348000,2026-01-03T12:09:03.194000,846,Compare project risk with current team capacity.,"Correctness, grounding, and safety validated.",Success,0.802,719,219,0.00458,
AEL000016,WFR00003,6,A009,TOOL019,2026-01-03T12:09:03.210000,2026-01-03T12:09:03.605000,395,Compare project risk with current team capacity.,Evidence-based explanation generated.,Success,0.838,552,229,0.00248,
AEL000017,WFR00004,1,A001,TOOL016,2026-06-29T14:14:00,2026-06-29T14:14:00.631000,631,What is the average salary in Engineering?,Request classified and task plan created.,Success,0.922,320,325,0.01017,
AEL000018,WFR00004,2,A002,TOOL019,2026-06-29T14:14:00.659000,2026-06-29T14:14:01.457000,798,What is the average salary in Engineering?,Access denied for permission employee.salary.read.,Success,0.95,328,327,0.00238,
AEL000019,WFR00005,1,A001,TOOL019,2026-08-11T09:11:00,2026-08-11T09:11:00.264000,264,Reassign task after checking workload.,Request classified and task plan created.,Success,0.883,247,135,0.00163,
