approval_action_id,approval_request_id,sequence_number,approver_user_id,approver_role,decision,decision_reason,decided_at
APA00001,APR00001,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-06-18T11:00:00
APA00002,APR00002,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-10-29T00:00:00
APA00003,APR00003,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-08-24T00:00:00
APA00004,APR00004,1,U0006,Finance_Manager,Pending,,
APA00005,APR00004,2,U0001,Executive,Pending,,
APA00006,APR00005,1,U0006,Finance_Manager,Pending,,
APA00007,APR00006,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-08-03T01:00:00
APA00008,APR00006,2,U0001,Executive,Approved,Within policy and budget.,2025-08-03T01:00:00
APA00009,APR00007,1,U0006,Finance_Manager,Pending,,
APA00010,APR00008,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-05-25T03:00:00
APA00011,APR00009,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-04-08T19:00:00
APA00012,APR00010,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-07-18T02:00:00
APA00013,APR00010,2,U0001,Executive,Approved,Within policy and budget.,2026-07-18T02:00:00
APA00014,APR00010,3,U0123,Executive,Approved,Within policy and budget.,2026-07-18T02:00:00
APA00015,APR00011,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-05-26T17:00:00
APA00016,APR00012,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-07-04T07:00:00
APA00017,APR00012,2,U0001,Executive,Approved,Within policy and budget.,2025-07-04T07:00:00
APA00018,APR00013,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-07-04T22:00:00
APA00019,APR00013,2,U0001,Executive,Approved,Within policy and budget.,2025-07-04T22:00:00
APA00020,APR00014,1,U0006,Finance_Manager,Pending,,
APA00021,APR00015,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-08-30T17:00:00
APA00022,APR00015,2,U0001,Executive,Approved,Within policy and budget.,2025-08-30T17:00:00
APA00023,APR00015,3,U0123,Executive,Approved,Within policy and budget.,2025-08-30T17:00:00
APA00024,APR00016,1,U0006,Finance_Manager,Pending,,
APA00025,APR00016,2,U0001,Executive,Pending,,
APA00026,APR00017,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-07-18T18:00:00
APA00027,APR00018,1,U0006,Finance_Manager,Pending,,
APA00028,APR00019,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-06-15T04:00:00
APA00029,APR00020,1,U0006,Finance_Manager,Pending,,
APA00030,APR00021,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-02-07T19:00:00
APA00031,APR00022,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-02-07T06:00:00
APA00032,APR00022,2,U0001,Executive,Approved,Within policy and budget.,2026-02-07T06:00:00
APA00033,APR00022,3,U0123,Executive,Approved,Within policy and budget.,2026-02-07T06:00:00
APA00034,APR00023,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-04-05T09:00:00
APA00035,APR00024,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-04-07T03:00:00
APA00036,APR00025,1,U0006,Finance_Manager,Pending,,
APA00037,APR00026,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-05-16T10:00:00
APA00038,APR00026,2,U0001,Executive,Approved,Within policy and budget.,2026-05-16T10:00:00
APA00039,APR00027,1,U0006,Finance_Manager,Pending,,
APA00040,APR00028,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-05-03T18:00:00
APA00041,APR00029,1,U0006,Finance_Manager,Rejected,Policy or budget exception.,2025-08-07T16:00:00
APA00042,APR00029,2,U0001,Executive,Not Required,,2025-08-07T16:00:00
APA00043,APR00029,3,U0123,Executive,Not Required,,2025-08-07T16:00:00
APA00044,APR00030,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-02-26T19:00:00
APA00045,APR00030,2,U0001,Executive,Approved,Within policy and budget.,2026-02-26T19:00:00
APA00046,APR00031,1,U0006,Finance_Manager,Approved,Within policy and budget.,2026-03-08T14:00:00
APA00047,APR00032,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-10-18T14:00:00
APA00048,APR00033,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-08-27T15:00:00
APA00049,APR00034,1,U0006,Finance_Manager,Approved,Within policy and budget.,2025-11-18T03:00:00
