access_decision_id,decision_time,user_id,assigned_roles,requested_permission,resource_type,resource_id,decision,decision_reason,policy_engine,zero_trust_checks,session_risk_score
ACD00001,2026-01-21T18:26:00,U0021,Employee,evaluation.read,employee,E0092,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.024
ACD00002,2026-06-24T17:32:00,U0012,Employee|Project_Manager,employee.update,purchase_request,PUR0023,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.172
ACD00003,2026-08-05T02:01:00,U0139,Employee,ai.execute_low_risk,audit_log,AUD003825,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.299
ACD00004,2026-01-15T05:59:00,U0114,Employee,sales.read,project,PRJ009,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.787
ACD00005,2026-08-11T07:27:00,U0079,Employee,ai.execute_high_risk,task,T00244,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.845
ACD00006,2026-08-24T03:59:00,U0038,Employee,employee.read_sensitive,employee,E0140,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.884
ACD00007,2026-01-02T17:36:00,U0197,Employee,user.manage,task,T00282,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.586
ACD00008,2026-05-24T11:03:00,U0054,Employee,ai.execute_high_risk,sales_order,SO001896,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.321
ACD00009,2026-01-21T06:24:00,U0170,Employee,project.assign,project,PRJ006,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.076
ACD00010,2026-02-12T10:19:00,U0137,Employee,leave.approve,project,PRJ015,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.498
ACD00011,2026-03-23T17:43:00,U0099,Employee,ai.execute_low_risk,document,DOC009,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.091
ACD00012,2026-07-28T02:52:00,U0035,Employee,audit.read,audit_log,AUD005322,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.519
ACD00013,2026-03-01T20:57:00,U0140,Employee,document.read_security,task,T00096,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.469
ACD00014,2026-03-05T10:24:00,U0123,Employee|Executive,employee.read_sensitive,task,T00129,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.246
ACD00015,2026-05-22T16:31:00,U0040,Employee,project.create,purchase_request,PUR0003,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.821
ACD00016,2026-05-30T20:43:00,U0100,Employee,project.read,employee,E0094,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.171
ACD00017,2026-02-19T19:13:00,U0053,Employee,ai.execute_low_risk,project,PRJ017,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.556
ACD00018,2026-03-03T08:59:00,U0123,Employee|Executive,project.read,project,PRJ018,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.327
ACD00019,2026-05-27T21:49:00,U0194,Employee,document.read_security,sales_order,SO004324,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.457
ACD00020,2026-01-29T18:49:00,U0163,Employee,expense.approve,audit_log,AUD009928,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.038
ACD00021,2026-02-08T12:04:00,U0029,Employee,user.manage,purchase_request,PUR0153,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.518
ACD00022,2026-02-05T17:08:00,U0162,Employee,employee.read,task,T00337,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.514
ACD00023,2026-02-17T01:58:00,U0079,Employee,task.read,task,T00466,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.493
ACD00024,2026-06-10T10:31:00,U0072,Employee,ai.query,employee,E0156,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.286
ACD00025,2026-07-19T02:37:00,U0110,Employee,task.reassign,purchase_request,PUR0043,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.135
ACD00026,2026-02-11T03:10:00,U0130,Employee,employee.salary.read,document,DOC008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.749
ACD00027,2026-07-15T06:35:00,U0194,Employee,employee.read_sensitive,purchase_request,PUR0127,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.096
ACD00028,2026-04-26T04:09:00,U0182,Employee,document.read_hr,sales_order,SO003029,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.9
ACD00029,2026-07-19T18:29:00,U0186,Employee,employee.read_sensitive,sales_order,SO002891,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.722
ACD00030,2026-08-28T14:49:00,U0025,Employee,employee.read,employee,E0127,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.839
ACD00031,2026-05-21T05:23:00,U0135,Employee,leave.approve,project,PRJ018,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.875
ACD00032,2026-06-10T19:26:00,U0128,Employee,ai.query,purchase_request,PUR0027,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.215
ACD00033,2026-05-07T17:48:00,U0175,Employee,leave.read_own,employee,E0106,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.439
ACD00034,2026-05-12T05:11:00,U0093,Employee,employee.salary.read,document,DOC001,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.657
ACD00035,2026-08-14T01:44:00,U0170,Employee,approval.review,employee,E0170,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.46
ACD00036,2026-06-30T12:13:00,U0134,Employee,user.manage,task,T00028,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.333
ACD00037,2026-08-26T05:00:00,U0154,Employee,approval.review,project,PRJ001,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.441
ACD00038,2026-06-12T01:26:00,U0127,Employee,finance.read,audit_log,AUD001718,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.538
ACD00039,2026-05-19T00:37:00,U0004,Employee|Project_Manager,audit.read,audit_log,AUD000067,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.465
ACD00040,2026-05-28T05:05:00,U0153,Employee,leave.read_all,document,DOC010,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.242
ACD00041,2026-06-22T01:19:00,U0120,Employee,finance.read,sales_order,SO001260,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.053
ACD00042,2026-02-13T12:30:00,U0188,Employee,project.assign,task,T00202,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.344
ACD00043,2026-08-03T12:14:00,U0004,Employee|Project_Manager,employee.read_sensitive,document,DOC001,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.207
ACD00044,2026-07-01T15:49:00,U0149,Employee,document.read_security,sales_order,SO001489,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.177
ACD00045,2026-07-23T19:22:00,U0022,Employee,leave.read_own,purchase_request,PUR0001,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.259
ACD00046,2026-01-27T15:56:00,U0100,Employee,employee.read,project,PRJ008,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.759
ACD00047,2026-01-01T11:20:00,U0098,Employee,leave.read_own,project,PRJ014,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.237
ACD00048,2026-08-23T14:59:00,U0147,Employee,document.read_finance,task,T00252,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.445
ACD00049,2026-02-03T23:02:00,U0161,Employee,project.assign,employee,E0181,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.333
ACD00050,2026-03-12T18:12:00,U0055,Employee,employee.read,purchase_request,PUR0132,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.384
ACD00051,2026-04-03T18:03:00,U0057,Employee,ai.execute_high_risk,audit_log,AUD006781,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.784
ACD00052,2026-03-06T19:25:00,U0147,Employee,ai.execute_low_risk,audit_log,AUD005148,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.1
ACD00053,2026-07-19T18:55:00,U0073,Employee,sales.read,audit_log,AUD006179,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.609
ACD00054,2026-06-20T17:04:00,U0132,Employee,project.create,purchase_request,PUR0130,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.336
ACD00055,2026-06-01T09:41:00,U0157,Employee,employee.update,project,PRJ001,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.455
ACD00056,2026-08-21T00:11:00,U0080,Employee,employee.salary.read,sales_order,SO002435,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.224
ACD00057,2026-06-10T22:27:00,U0011,Employee,employee.update,document,DOC013,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.656
ACD00058,2026-05-14T01:01:00,U0101,Employee,project.read,audit_log,AUD004852,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.724
ACD00059,2026-02-03T21:59:00,U0048,Employee,document.read_public,document,DOC011,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.336
ACD00060,2026-04-24T19:07:00,U0067,Employee,employee.read_sensitive,employee,E0144,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.25
ACD00061,2026-03-19T22:32:00,U0179,Employee,document.read_public,document,DOC004,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.615
ACD00062,2026-01-18T02:24:00,U0190,Employee,project.create,sales_order,SO000748,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.467
ACD00063,2026-02-15T20:27:00,U0141,Employee,task.read,project,PRJ006,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.719
ACD00064,2026-03-27T22:29:00,U0007,Employee|Project_Manager,sales.read,employee,E0108,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.359
ACD00065,2026-06-12T09:14:00,U0123,Employee|Executive,evaluation.manage,project,PRJ009,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.221
ACD00066,2026-03-05T13:08:00,U0025,Employee,employee.salary.read,audit_log,AUD002570,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.106
ACD00067,2026-05-26T10:13:00,U0050,Employee,document.read_finance,employee,E0021,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.468
ACD00068,2026-08-12T21:04:00,U0095,Employee,evaluation.manage,employee,E0016,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.547
ACD00069,2026-01-26T05:32:00,U0028,Employee,task.read,audit_log,AUD009428,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.632
ACD00070,2026-04-04T12:35:00,U0172,Employee,ai.execute_high_risk,task,T00226,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.253
ACD00071,2026-06-24T03:19:00,U0035,Employee,audit.read,purchase_request,PUR0065,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.433
ACD00072,2026-03-04T13:05:00,U0198,Employee,leave.approve,task,T00233,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.24
ACD00073,2026-07-16T14:36:00,U0059,Employee,document.upload,document,DOC004,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.642
ACD00074,2026-08-20T05:06:00,U0144,Employee,role.manage,audit_log,AUD008131,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.317
ACD00075,2026-03-13T06:55:00,U0179,Employee,project.read,purchase_request,PUR0169,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.556
ACD00076,2026-02-22T00:16:00,U0083,Employee,document.read_finance,purchase_request,PUR0006,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.036
ACD00077,2026-06-11T11:49:00,U0023,Employee,ai.execute_low_risk,audit_log,AUD007043,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.484
ACD00078,2026-02-16T07:23:00,U0124,Employee,task.update_own,task,T00432,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.066
ACD00079,2026-07-03T01:44:00,U0064,Employee,ai.execute_low_risk,document,DOC002,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.225
ACD00080,2026-05-29T12:36:00,U0170,Employee,project.read,employee,E0037,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.073
ACD00081,2026-02-28T20:27:00,U0137,Employee,leave.read_all,purchase_request,PUR0080,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.883
ACD00082,2026-03-12T07:27:00,U0108,Employee,ai.execute_high_risk,project,PRJ014,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.545
ACD00083,2026-01-13T00:46:00,U0126,Employee,task.update_own,document,DOC002,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.814
ACD00084,2026-07-22T00:06:00,U0146,Employee,document.read_finance,sales_order,SO001560,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.524
ACD00085,2026-07-17T03:12:00,U0002,Employee|HR_Manager,employee.update,sales_order,SO001330,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.803
ACD00086,2026-01-07T21:54:00,U0072,Employee,evaluation.manage,sales_order,SO004770,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.295
ACD00087,2026-05-16T23:30:00,U0014,AI_Reviewer|Employee,task.reassign,project,PRJ005,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.172
ACD00088,2026-05-12T00:14:00,U0148,Employee,project.assign,project,PRJ004,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.239
ACD00089,2026-08-08T16:22:00,U0041,Employee,task.update_own,task,T00441,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.31
ACD00090,2026-07-07T16:56:00,U0129,Employee,approval.review,sales_order,SO001828,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.367
ACD00091,2026-04-16T11:48:00,U0026,Employee,ai.query,project,PRJ013,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.365
ACD00092,2026-02-21T22:14:00,U0164,Employee,task.read,project,PRJ009,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.089
ACD00093,2026-08-24T05:01:00,U0022,Employee,employee.read,task,T00110,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.026
ACD00094,2026-06-08T07:33:00,U0070,Employee,document.read_hr,task,T00269,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.312
ACD00095,2026-02-20T15:14:00,U0093,Employee,task.read,document,DOC013,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.448
ACD00096,2026-07-31T08:54:00,U0013,Employee,task.update_own,project,PRJ003,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.774
ACD00097,2026-07-20T23:09:00,U0086,Employee,approval.review,audit_log,AUD000664,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.869
ACD00098,2026-08-13T01:43:00,U0168,Employee,document.read_hr,document,DOC003,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.424
ACD00099,2026-08-05T07:47:00,U0005,Employee|Sales_Manager,document.read_security,purchase_request,PUR0142,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.767
ACD00100,2026-03-12T05:36:00,U0046,Employee,ai.execute_high_risk,audit_log,AUD002908,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.351
ACD00101,2026-06-14T05:06:00,U0157,Employee,employee.read,audit_log,AUD007582,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.177
ACD00102,2026-04-08T10:33:00,U0097,Employee,ai.query,document,DOC006,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.343
ACD00103,2026-01-13T03:53:00,U0014,AI_Reviewer|Employee,document.read_public,employee,E0035,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.512
ACD00104,2026-01-03T14:25:00,U0105,Employee,finance.read,purchase_request,PUR0162,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.65
ACD00105,2026-07-23T22:40:00,U0001,Employee|Executive,document.read_public,task,T00172,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.372
