"eval_run_id","program_id","candidate_variant","dataset_split","items_total","avg_judge_score","pass_rate","cost_usd","eval_batch_name","run_started_at"
"1","135","prompt_refresh","validation","439","0.4503","0.709","142.5169","batch_1","2025-04-08"
"2","415","candidate_a","test","470","0.6914","0.7229","131.9751","batch_2","2025-05-20"
"3","327","prompt_refresh","validation","68","0.5765","0.808","21.8082","batch_3","2025-07-18"
"4","119","tool_router_patch","validation","30","0.5981","0.4209","5.7322","batch_4","2025-03-21"
"5","115","prompt_refresh","train","362","0.8498","0.6903","164.8128","batch_5","2025-06-16"
"6","119","tool_router_patch","train","270","0.5332","0.8213","29.6591","batch_6","2025-11-10"
"7","480","tool_router_patch","validation","182","0.9798","0.6392","211.0202","batch_7","2025-02-03"
"8","68","prompt_refresh","validation","381","0.8546","0.4456","111.5755","batch_8","2025-05-05"
"9","519","candidate_b","validation","116","0.7825","0.5292","143.3181","batch_9","2025-12-03"
"10","142","candidate_b","test","28","0.5913","0.4721","188.4604","batch_10","2025-05-31"
"11","594","candidate_b","validation","465","0.5263","0.6237","64.6829","batch_11","2025-11-01"
"12","606","candidate_c","validation","158","0.7055","0.6573","177.1747","batch_12","2025-07-24"
"13","360","candidate_c","validation","205","0.8824","0.8033","215.9648","batch_13","2025-02-03"
"14","95","candidate_c","validation","27","0.7288","0.5264","174.8199","batch_14","2025-12-27"
"15","86","candidate_c","test","253","0.6586","0.716","32.684","batch_15","2025-02-01"
"16","373","prompt_refresh","test","260","0.6738","0.8659","84.1245","batch_16","2025-04-29"
"17","143","candidate_c","validation","54","0.6525","0.9051","144.9667","batch_17","2025-10-10"
"18","484","tool_router_patch","test","185","0.905","0.4428","116.5499","batch_18","2025-11-18"
"19","142","prompt_refresh","validation","210","0.879","0.9568","214.963","batch_19","2025-09-13"
"20","404","prompt_refresh","validation","499","0.5141","0.645","66.4908","batch_20","2025-09-05"
"21","368","candidate_b","validation","533","0.9396","0.8175","232.5218","batch_21","2025-11-05"
"22","436","candidate_a","train","460","0.547","0.7496","95.6189","batch_22","2025-10-01"
