workflow_run_id,workflow_definition_id,user_id,user_roles,original_query,input_modality,started_at,completed_at,status,security_decision,required_permission,requires_human_approval,approval_request_id,agent_route,final_answer_summary,evidence_sources,confidence_score,grounding_score,execution_time_ms,estimated_cost_usd,explanation_summary,error_type
WFR00001,WFD001,U0117,Employee,What is the remote-work policy?,text+csv,2026-01-09T08:52:00,2026-01-09T08:52:03.812000,Needs Human Review,ALLOW,ai.query,true,,A001|A002|A003|A008|A009,The workflow completed with grounded evidence and an explainable result.,DOC002,0.723,0.818,3812,0.03114,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00002,WFD002,U0150,Employee,Analyze Project Atlas status.,text,2026-08-11T08:31:00,2026-08-11T08:31:04.089000,Needs Human Review,ALLOW,project.read,true,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.741,0.847,4089,0.03182,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00003,WFD003,U0163,Employee,Compare project risk with current team capacity.,text,2026-01-03T12:09:00,2026-01-03T12:09:03.389000,Completed,ALLOW,project.read,false,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.938,0.889,3389,0.03727,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00004,WFD004,U0068,Employee,What is the average salary in Engineering?,text,2026-06-29T14:14:00,2026-06-29T14:14:01.429000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,1429,0.01255,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00005,WFD005,U0096,Employee,Reassign task after checking workload.,text,2026-08-11T09:11:00,2026-08-11T09:11:03.667000,Awaiting Approval,ALLOW,project.read,true,APR00077,A001|A002|A004|A005|A008|A010|A009,The requested action was analyzed and routed to the required human approver.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.75,0.936,3667,0.04159,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00006,WFD006,U0148,Employee,Compare sales channels in Q2 2026.,text+docx,2026-03-18T09:41:00,2026-03-18T09:41:02.882000,Completed,ALLOW,sales.read,false,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.97,0.869,2882,0.02631,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00007,WFD007,U0107,Employee,Approve a 15 percent discount for this order.,text,2026-01-03T12:56:00,2026-01-03T12:56:04.569000,Completed,ALLOW,sales.read,true,APR00114,A001|A002|A006|A007|A010|A009,The requested action was analyzed and routed to the required human approver.,sales_orders.csv,0.767,0.908,4569,0.04844,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00008,WFD008,U0032,Employee,Show pending purchase approvals.,text,2026-02-09T13:15:00,2026-02-09T13:15:01.063000,Denied,DENY,finance.read,false,,A001|A002|A007|A010|A009,Access denied. Your assigned roles do not grant finance.read.,purchase_requests.csv,1.0,1.0,1063,0.01991,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00009,WFD009,U0119,Employee,Approve a four-day leave request.,text,2026-08-01T17:11:00,2026-08-01T17:11:01.043000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1043,0.01107,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00010,WFD010,U0171,Employee,Retrieve the restricted security policy.,text+csv,2026-06-26T18:37:00,2026-06-26T18:37:01.403000,Denied,DENY,document.read_security,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_security.,DOC005,1.0,1.0,1403,0.01214,Deterministic RBAC checked roles Employee and denied the requested permission.,
