target_id,year,month,region,sales_target_usd,profit_margin_target_percent
TGT-202501-ASIA.PACIFIC,2025,1,Asia Pacific,658413.67,29.67
TGT-202501-EUROPE,2025,1,Europe,436405.9,21.67
TGT-202501-LATIN.AMERICA,2025,1,Latin America,497419.19,23.93
TGT-202501-MIDDLE.EAST.AFRICA,2025,1,Middle East & Africa,520829.68,28.53
TGT-202501-NORTH.AMERICA,2025,1,North America,411197.49,25.84
TGT-202502-ASIA.PACIFIC,2025,2,Asia Pacific,890988.86,20.19
TGT-202502-EUROPE,2025,2,Europe,736219.36,32.58
TGT-202502-LATIN.AMERICA,2025,2,Latin America,1073304.03,23.3
TGT-202502-MIDDLE.EAST.AFRICA,2025,2,Middle East & Africa,565619.31,33.54
TGT-202502-NORTH.AMERICA,2025,2,North America,751981.96,25.02
TGT-202503-ASIA.PACIFIC,2025,3,Asia Pacific,606637.55,29.33
TGT-202503-EUROPE,2025,3,Europe,722779.73,32.22
TGT-202503-LATIN.AMERICA,2025,3,Latin America,669289.7,26.06
TGT-202503-MIDDLE.EAST.AFRICA,2025,3,Middle East & Africa,896725.17,23.92
TGT-202503-NORTH.AMERICA,2025,3,North America,859133.76,32.51
TGT-202504-ASIA.PACIFIC,2025,4,Asia Pacific,474558.54,33.48
TGT-202504-EUROPE,2025,4,Europe,987301.08,32.28
TGT-202504-LATIN.AMERICA,2025,4,Latin America,611146.82,27.73
TGT-202504-MIDDLE.EAST.AFRICA,2025,4,Middle East & Africa,491841.45,33.32
TGT-202504-NORTH.AMERICA,2025,4,North America,521195.58,32.55
TGT-202505-ASIA.PACIFIC,2025,5,Asia Pacific,618125.56,23.36
TGT-202505-EUROPE,2025,5,Europe,876513.09,29.82
TGT-202505-LATIN.AMERICA,2025,5,Latin America,468121.17,25.49
TGT-202505-MIDDLE.EAST.AFRICA,2025,5,Middle East & Africa,809889.19,31.48
TGT-202505-NORTH.AMERICA,2025,5,North America,1086931.96,26.23
TGT-202506-ASIA.PACIFIC,2025,6,Asia Pacific,856469.68,23.12
TGT-202506-EUROPE,2025,6,Europe,546755.24,27.38
TGT-202506-LATIN.AMERICA,2025,6,Latin America,1052916.2,29.92
TGT-202506-MIDDLE.EAST.AFRICA,2025,6,Middle East & Africa,997999.7,33.33
