"eval_item_id","eval_run_id","program_id","scenario_id","task_category","difficulty_tier","input_modality","requires_tool_use","requires_grounding","policy_sensitivity"
"1","10624","528","scenario_1","policy_handling","expert","text_table","0","1","sensitive"
"2","9948","587","scenario_2","planning","hard","text_json","1","1","low"
"3","9210","557","scenario_3","qa","hard","text_table","0","1","sensitive"
"4","7980","480","scenario_4","policy_handling","expert","multistep_trace","0","0","sensitive"
"5","21802","318","scenario_5","tool_use","expert","text","0","0","restricted"
"6","16769","28","scenario_6","summarization","standard","text_json","1","0","low"
"7","20906","474","scenario_7","qa","hard","text_table","1","0","low"
"8","12725","9","scenario_8","planning","easy","text_table","0","1","low"
"9","11689","60","scenario_9","policy_handling","easy","text","1","1","moderate"
"10","1472","456","scenario_10","planning","standard","multistep_trace","1","0","low"
"11","8262","239","scenario_11","qa","expert","text","0","0","moderate"
"12","7709","112","scenario_12","tool_use","expert","text","1","1","sensitive"
"13","14472","51","scenario_13","qa","expert","multistep_trace","1","0","restricted"
"14","3793","611","scenario_14","planning","expert","text_json","1","0","moderate"
"15","4523","471","scenario_15","qa","easy","text","0","0","restricted"
"16","1017","409","scenario_16","classification","easy","text_table","1","0","restricted"
"17","1821","342","scenario_17","policy_handling","expert","multistep_trace","1","1","low"
"18","14415","172","scenario_18","qa","easy","multistep_trace","1","0","restricted"
"19","16323","609","scenario_19","classification","hard","text","1","0","restricted"
"20","13202","182","scenario_20","summarization","hard","multistep_trace","0","0","moderate"
"21","6287","130","scenario_21","planning","easy","text","1","0","moderate"
"22","1926","274","scenario_22","tool_use","hard","text_json","0","1","sensitive"
"23","13121","50","scenario_23","policy_handling","hard","multistep_trace","1","1","moderate"
"24","18253","324","scenario_24","summarization","hard","text","0","1","moderate"
"25","12936","41","scenario_25","planning","expert","text","0","1","moderate"
"26","5428","227","scenario_26","planning","expert","text_table","0","0","sensitive"
"27","21931","203","scenario_27","classification","standard","text_table","1","0","restricted"
"28","1216","247","scenario_28","planning","standard","text_table","0","1","sensitive"
"29","17010","72","scenario_29","classification","easy","text_table","1","1","low"
"30","4568","477","scenario_30","classification","standard","multistep_trace","0","0","moderate"
"31","1833","130","scenario_31","policy_handling","easy","text_table","1","1","moderate"
