document_id,document_title,version,document_owner,classification,effective_date,allowed_roles,required_permission,canonical_pdf_path,editable_docx_path,source_type,active,supersedes_document_id,indexing_status,snapshot_date
DOC001,Employee Handbook,3.2,Human Resources,Internal,2026-01-01,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,knowledge_base/editable_docx/DOC001_Employee_Handbook.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC002,Leave and Attendance Policy,2.1,Human Resources,Internal,2026-01-01,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC002_Leave_and_Attendance_Policy.pdf,knowledge_base/editable_docx/DOC002_Leave_and_Attendance_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC003,Remote Work and Flexible Hours Policy,1.6,Human Resources and IT,Internal,2026-02-01,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC003_Remote_Work_and_Flexible_Hours_Policy.pdf,knowledge_base/editable_docx/DOC003_Remote_Work_and_Flexible_Hours_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC004,Salary and Compensation Access Policy,2.0,Human Resources and Finance,Restricted,2026-01-15,Admin|Executive|HR_Manager|Finance_Manager|Auditor,employee.salary.read,knowledge_base/canonical_pdf/DOC004_Salary_and_Compensation_Access_Policy.pdf,knowledge_base/editable_docx/DOC004_Salary_and_Compensation_Access_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC005,Information Security and Data Classification Policy,4.0,IT and Security,Restricted,2026-01-01,Admin|Executive|Security_Officer|Auditor,document.read_security,knowledge_base/canonical_pdf/DOC005_Information_Security_and_Data_Classification_Policy.pdf,knowledge_base/editable_docx/DOC005_Information_Security_and_Data_Classification_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC006,Expense and Purchase Approval Policy,3.0,Finance,Confidential,2026-01-01,Admin|Executive|Finance_Manager|Employee|Auditor|AI_Reviewer,document.read_finance,knowledge_base/canonical_pdf/DOC006_Expense_and_Purchase_Approval_Policy.pdf,knowledge_base/editable_docx/DOC006_Expense_and_Purchase_Approval_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC007,Project Governance and Task Reassignment Policy,2.2,Enterprise PMO,Internal,2026-01-20,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC007_Project_Governance_and_Task_Reassignment_Policy.pdf,knowledge_base/editable_docx/DOC007_Project_Governance_and_Task_Reassignment_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC008,Sales Discount and Promotion Policy,1.8,Sales and Finance,Confidential,2026-01-10,Admin|Executive|Finance_Manager|Sales_Manager|Auditor|AI_Reviewer,sales.read,knowledge_base/canonical_pdf/DOC008_Sales_Discount_and_Promotion_Policy.pdf,knowledge_base/editable_docx/DOC008_Sales_Discount_and_Promotion_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC009,AI Governance and Human-in-the-Loop Policy,2.5,AI Governance Council,Internal,2026-02-15,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC009_AI_Governance_and_Human_in_the_Loop_Policy.pdf,knowledge_base/editable_docx/DOC009_AI_Governance_and_Human_in_the_Loop_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC010,Incident Response Policy,3.4,Security Operations,Restricted,2026-01-05,Admin|Executive|Security_Officer|Auditor,document.read_security,knowledge_base/canonical_pdf/DOC010_Incident_Response_Policy.pdf,knowledge_base/editable_docx/DOC010_Incident_Response_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC011,Enterprise Data Retention Policy,2.0,"Legal, Security, and Data Governance",Internal,2026-01-01,Admin|Executive|HR_Manager|Project_Manager|Finance_Manager|Sales_Manager|Security_Officer|Employee|Auditor|AI_Reviewer,document.read_public,knowledge_base/canonical_pdf/DOC011_Enterprise_Data_Retention_Policy.pdf,knowledge_base/editable_docx/DOC011_Enterprise_Data_Retention_Policy.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC012,Project Atlas Status Report,2026-08-28,Enterprise PMO,Confidential,2026-08-28,Admin|Executive|Project_Manager|Auditor|AI_Reviewer,project.read,knowledge_base/canonical_pdf/DOC012_Project_Atlas_Status_Report.pdf,knowledge_base/editable_docx/DOC012_Project_Atlas_Status_Report.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC013,Project Nova Status Report,2026-08-28,Customer Experience PMO,Internal,2026-08-28,Admin|Executive|Project_Manager|Employee|Auditor|AI_Reviewer,project.read,knowledge_base/canonical_pdf/DOC013_Project_Nova_Status_Report.pdf,knowledge_base/editable_docx/DOC013_Project_Nova_Status_Report.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
DOC014,Q2 2026 Sales Performance Report,2026-Q2,Sales Operations,Confidential,2026-07-10,Admin|Executive|Finance_Manager|Sales_Manager|Auditor|AI_Reviewer,sales.read,knowledge_base/canonical_pdf/DOC014_Q2_2026_Sales_Performance_Report.pdf,knowledge_base/editable_docx/DOC014_Q2_2026_Sales_Performance_Report.docx,Synthetic enterprise knowledge document,true,,Ready,2026-08-28
