eval_run_id,program_id,run_started_at,eval_batch_name,candidate_variant,items_total,avg_judge_score,pass_rate,review_rate,cost_usd,dataset_split
EVR0001,EVP001,2026-06-02T10:00:00,EVP001-BATCH-01,Mistral-7B-Instruct,8,0.905,0.875,0.125,5.83,test
EVR0002,EVP001,2026-06-03T10:00:00,EVP001-BATCH-02,Mistral-7B-Instruct,8,0.89,1.0,0.0,4.54,test
EVR0003,EVP001,2026-06-04T10:00:00,EVP001-BATCH-03,Mistral-7B-Instruct,8,0.91,1.0,0.0,3.56,production_shadow
EVR0004,EVP001,2026-06-05T10:00:00,EVP001-BATCH-04,Mistral-7B-Instruct,8,0.909,1.0,0.0,4.92,validation
EVR0005,EVP001,2026-06-06T10:00:00,EVP001-BATCH-05,Mistral-7B-Instruct,8,0.906,1.0,0.0,7.63,test
EVR0006,EVP001,2026-06-07T10:00:00,EVP001-BATCH-06,Mistral-7B-Instruct,8,0.926,1.0,0.0,8.44,test
EVR0007,EVP001,2026-06-08T10:00:00,EVP001-BATCH-07,Mistral-7B-Instruct,8,0.9,1.0,0.0,1.17,production_shadow
EVR0008,EVP001,2026-06-09T10:00:00,EVP001-BATCH-08,Mistral-7B-Instruct,8,0.89,1.0,0.0,8.11,validation
EVR0009,EVP001,2026-06-10T10:00:00,EVP001-BATCH-09,Mistral-7B-Instruct,8,0.896,1.0,0.0,3.5,test
EVR0010,EVP001,2026-06-11T10:00:00,EVP001-BATCH-10,Mistral-7B-Instruct,8,0.918,1.0,0.0,3.72,test
EVR0011,EVP002,2026-06-12T10:00:00,EVP002-BATCH-01,Llama-3.1-8B-Instruct,8,0.911,1.0,0.0,4.94,test
EVR0012,EVP002,2026-06-13T10:00:00,EVP002-BATCH-02,Llama-3.1-8B-Instruct,8,0.903,1.0,0.0,5.83,test
EVR0013,EVP002,2026-06-14T10:00:00,EVP002-BATCH-03,Llama-3.1-8B-Instruct,8,0.895,1.0,0.0,2.97,production_shadow
EVR0014,EVP002,2026-06-15T10:00:00,EVP002-BATCH-04,Llama-3.1-8B-Instruct,8,0.895,1.0,0.0,4.75,validation
EVR0015,EVP002,2026-06-16T10:00:00,EVP002-BATCH-05,Llama-3.1-8B-Instruct,8,0.911,1.0,0.0,1.71,test
EVR0016,EVP002,2026-06-17T10:00:00,EVP002-BATCH-06,Llama-3.1-8B-Instruct,8,0.911,1.0,0.0,6.4,test
EVR0017,EVP002,2026-06-18T10:00:00,EVP002-BATCH-07,Llama-3.1-8B-Instruct,8,0.925,1.0,0.0,7.78,production_shadow
EVR0018,EVP002,2026-06-19T10:00:00,EVP002-BATCH-08,Llama-3.1-8B-Instruct,8,0.904,1.0,0.0,5.13,validation
EVR0019,EVP002,2026-06-20T10:00:00,EVP002-BATCH-09,Llama-3.1-8B-Instruct,8,0.903,1.0,0.0,2.37,test
EVR0020,EVP002,2026-06-21T10:00:00,EVP002-BATCH-10,Llama-3.1-8B-Instruct,8,0.899,1.0,0.0,7.95,test
EVR0021,EVP003,2026-06-22T10:00:00,EVP003-BATCH-01,Mistral-7B-Instruct,8,0.899,1.0,0.0,1.41,test
EVR0022,EVP003,2026-06-23T10:00:00,EVP003-BATCH-02,Mistral-7B-Instruct,8,0.907,1.0,0.0,7.64,test
EVR0023,EVP003,2026-06-24T10:00:00,EVP003-BATCH-03,Mistral-7B-Instruct,8,0.922,1.0,0.0,8.39,production_shadow
EVR0024,EVP003,2026-06-25T10:00:00,EVP003-BATCH-04,Mistral-7B-Instruct,8,0.897,1.0,0.0,5.35,validation
EVR0025,EVP003,2026-06-26T10:00:00,EVP003-BATCH-05,Mistral-7B-Instruct,8,0.939,1.0,0.0,4.36,test
EVR0026,EVP003,2026-06-27T10:00:00,EVP003-BATCH-06,Mistral-7B-Instruct,8,0.938,1.0,0.0,6.91,test
EVR0027,EVP003,2026-06-28T10:00:00,EVP003-BATCH-07,Mistral-7B-Instruct,8,0.942,1.0,0.0,1.93,production_shadow
EVR0028,EVP003,2026-06-29T10:00:00,EVP003-BATCH-08,Mistral-7B-Instruct,8,0.905,1.0,0.0,6.99,validation
EVR0029,EVP003,2026-06-30T10:00:00,EVP003-BATCH-09,Mistral-7B-Instruct,8,0.919,1.0,0.0,1.64,test
EVR0030,EVP003,2026-07-01T10:00:00,EVP003-BATCH-10,Mistral-7B-Instruct,8,0.94,1.0,0.0,3.25,test
EVR0031,EVP004,2026-07-02T10:00:00,EVP004-BATCH-01,GPT-4.1-mini,8,0.915,1.0,0.0,4.89,test
EVR0032,EVP004,2026-07-03T10:00:00,EVP004-BATCH-02,GPT-4.1-mini,8,0.881,1.0,0.0,6.73,test
EVR0033,EVP004,2026-07-04T10:00:00,EVP004-BATCH-03,GPT-4.1-mini,8,0.909,1.0,0.0,2.2,production_shadow
EVR0034,EVP004,2026-07-05T10:00:00,EVP004-BATCH-04,GPT-4.1-mini,8,0.9,1.0,0.0,5.59,validation
EVR0035,EVP004,2026-07-06T10:00:00,EVP004-BATCH-05,GPT-4.1-mini,8,0.889,1.0,0.0,4.23,test
EVR0036,EVP004,2026-07-07T10:00:00,EVP004-BATCH-06,GPT-4.1-mini,8,0.915,1.0,0.0,3.03,test
EVR0037,EVP004,2026-07-08T10:00:00,EVP004-BATCH-07,GPT-4.1-mini,8,0.905,1.0,0.0,4.61,production_shadow
