approval_request_id,request_type,business_object_type,business_object_id,requested_by_user_id,requested_action,action_payload_json,risk_tier,required_approver_roles,status,created_at,resolved_at,policy_version,human_in_the_loop
APR00001,Purchase Request,purchase_request,PUR0001,U0169,Approve purchase,"{""amount_usd"":904.12,""supplier_id"":""SUP063"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-06-17T11:00:00,2026-06-18T11:00:00,FIN-PUR-3.0,true
APR00002,Purchase Request,purchase_request,PUR0002,U0007,Approve purchase,"{""amount_usd"":954.05,""supplier_id"":""SUP022"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2025-10-25T13:00:00,2025-10-29T00:00:00,FIN-PUR-3.0,true
APR00003,Purchase Request,purchase_request,PUR0003,U0115,Approve purchase,"{""amount_usd"":1197.54,""supplier_id"":""SUP011"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-08-21T12:00:00,2025-08-24T00:00:00,FIN-PUR-3.0,true
APR00004,Purchase Request,purchase_request,PUR0004,U0003,Approve purchase,"{""amount_usd"":15210.06,""supplier_id"":""SUP080"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Pending,2026-07-10T12:00:00,,FIN-PUR-3.0,true
APR00005,Purchase Request,purchase_request,PUR0005,U0128,Approve purchase,"{""amount_usd"":332.1,""supplier_id"":""SUP077"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2025-10-14T08:00:00,,FIN-PUR-3.0,true
APR00006,Purchase Request,purchase_request,PUR0006,U0166,Approve purchase,"{""amount_usd"":5564.6,""supplier_id"":""SUP065"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2025-07-29T15:00:00,2025-08-03T01:00:00,FIN-PUR-3.0,true
APR00007,Purchase Request,purchase_request,PUR0007,U0177,Approve purchase,"{""amount_usd"":381.85,""supplier_id"":""SUP025"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2025-06-14T16:00:00,,FIN-PUR-3.0,true
APR00008,Purchase Request,purchase_request,PUR0008,U0107,Approve purchase,"{""amount_usd"":1092.21,""supplier_id"":""SUP036"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-05-20T11:00:00,2026-05-25T03:00:00,FIN-PUR-3.0,true
APR00009,Purchase Request,purchase_request,PUR0009,U0082,Approve purchase,"{""amount_usd"":381.67,""supplier_id"":""SUP044"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-04-05T15:00:00,2026-04-08T19:00:00,FIN-PUR-3.0,true
APR00010,Purchase Request,purchase_request,PUR0010,U0167,Approve purchase,"{""amount_usd"":67643.86,""supplier_id"":""SUP061"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2026-07-13T15:00:00,2026-07-18T02:00:00,FIN-PUR-3.0,true
APR00011,Purchase Request,purchase_request,PUR0011,U0070,Approve purchase,"{""amount_usd"":415.96,""supplier_id"":""SUP033"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2025-05-26T10:00:00,2025-05-26T17:00:00,FIN-PUR-3.0,true
APR00012,Purchase Request,purchase_request,PUR0012,U0004,Approve purchase,"{""amount_usd"":6224.29,""supplier_id"":""SUP070"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2025-06-30T13:00:00,2025-07-04T07:00:00,FIN-PUR-3.0,true
APR00013,Purchase Request,purchase_request,PUR0013,U0092,Approve purchase,"{""amount_usd"":20555.3,""supplier_id"":""SUP059"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2025-07-01T13:00:00,2025-07-04T22:00:00,FIN-PUR-3.0,true
APR00014,Purchase Request,purchase_request,PUR0014,U0133,Approve purchase,"{""amount_usd"":1082.33,""supplier_id"":""SUP036"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2025-07-15T10:00:00,,FIN-PUR-3.0,true
APR00015,Purchase Request,purchase_request,PUR0015,U0068,Approve purchase,"{""amount_usd"":74081.02,""supplier_id"":""SUP056"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2025-08-28T09:00:00,2025-08-30T17:00:00,FIN-PUR-3.0,true
APR00016,Purchase Request,purchase_request,PUR0016,U0013,Approve purchase,"{""amount_usd"":11424.75,""supplier_id"":""SUP017"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Pending,2025-08-09T14:00:00,,FIN-PUR-3.0,true
APR00017,Purchase Request,purchase_request,PUR0017,U0054,Approve purchase,"{""amount_usd"":402.53,""supplier_id"":""SUP042"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-07-15T14:00:00,2026-07-18T18:00:00,FIN-PUR-3.0,true
APR00018,Purchase Request,purchase_request,PUR0018,U0035,Approve purchase,"{""amount_usd"":3948.58,""supplier_id"":""SUP032"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2025-12-05T11:00:00,,FIN-PUR-3.0,true
APR00019,Purchase Request,purchase_request,PUR0019,U0087,Approve purchase,"{""amount_usd"":1199.43,""supplier_id"":""SUP043"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-06-13T14:00:00,2025-06-15T04:00:00,FIN-PUR-3.0,true
APR00020,Purchase Request,purchase_request,PUR0020,U0169,Approve purchase,"{""amount_usd"":3046.61,""supplier_id"":""SUP055"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2026-03-08T08:00:00,,FIN-PUR-3.0,true
APR00021,Purchase Request,purchase_request,PUR0021,U0144,Approve purchase,"{""amount_usd"":2305.54,""supplier_id"":""SUP024"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-02-05T08:00:00,2026-02-07T19:00:00,FIN-PUR-3.0,true
APR00022,Purchase Request,purchase_request,PUR0022,U0185,Approve purchase,"{""amount_usd"":54895.53,""supplier_id"":""SUP069"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2026-02-02T09:00:00,2026-02-07T06:00:00,FIN-PUR-3.0,true
APR00023,Purchase Request,purchase_request,PUR0023,U0122,Approve purchase,"{""amount_usd"":350.93,""supplier_id"":""SUP038"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-04-01T08:00:00,2026-04-05T09:00:00,FIN-PUR-3.0,true
APR00024,Purchase Request,purchase_request,PUR0024,U0029,Approve purchase,"{""amount_usd"":447.87,""supplier_id"":""SUP025"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-04-02T10:00:00,2026-04-07T03:00:00,FIN-PUR-3.0,true
APR00025,Purchase Request,purchase_request,PUR0025,U0124,Approve purchase,"{""amount_usd"":2885.25,""supplier_id"":""SUP067"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2025-11-21T15:00:00,,FIN-PUR-3.0,true
APR00026,Purchase Request,purchase_request,PUR0026,U0034,Approve purchase,"{""amount_usd"":14430.6,""supplier_id"":""SUP048"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-05-15T08:00:00,2026-05-16T10:00:00,FIN-PUR-3.0,true
APR00027,Purchase Request,purchase_request,PUR0027,U0038,Approve purchase,"{""amount_usd"":338.41,""supplier_id"":""SUP032"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2025-05-17T09:00:00,,FIN-PUR-3.0,true
APR00028,Purchase Request,purchase_request,PUR0028,U0194,Approve purchase,"{""amount_usd"":674.78,""supplier_id"":""SUP031"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-05-02T11:00:00,2026-05-03T18:00:00,FIN-PUR-3.0,true
APR00029,Purchase Request,purchase_request,PUR0029,U0154,Approve purchase,"{""amount_usd"":75161.05,""supplier_id"":""SUP077"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Rejected,2025-08-03T16:00:00,2025-08-07T16:00:00,FIN-PUR-3.0,true
APR00030,Purchase Request,purchase_request,PUR0030,U0081,Approve purchase,"{""amount_usd"":14094.15,""supplier_id"":""SUP041"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-02-25T16:00:00,2026-02-26T19:00:00,FIN-PUR-3.0,true
APR00031,Purchase Request,purchase_request,PUR0031,U0143,Approve purchase,"{""amount_usd"":285.51,""supplier_id"":""SUP002"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-03-07T11:00:00,2026-03-08T14:00:00,FIN-PUR-3.0,true
APR00032,Purchase Request,purchase_request,PUR0032,U0192,Approve purchase,"{""amount_usd"":4695.91,""supplier_id"":""SUP015"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-10-14T10:00:00,2025-10-18T14:00:00,FIN-PUR-3.0,true
APR00033,Purchase Request,purchase_request,PUR0033,U0130,Approve purchase,"{""amount_usd"":1493.45,""supplier_id"":""SUP028"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-08-24T16:00:00,2025-08-27T15:00:00,FIN-PUR-3.0,true
APR00034,Purchase Request,purchase_request,PUR0034,U0180,Approve purchase,"{""amount_usd"":66018.89,""supplier_id"":""SUP010"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2025-11-16T10:00:00,2025-11-18T03:00:00,FIN-PUR-3.0,true
APR00035,Purchase Request,purchase_request,PUR0035,U0152,Approve purchase,"{""amount_usd"":29976.15,""supplier_id"":""SUP067"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2026-08-08T15:00:00,2026-08-11T03:00:00,FIN-PUR-3.0,true
APR00036,Purchase Request,purchase_request,PUR0036,U0031,Approve purchase,"{""amount_usd"":3459.4,""supplier_id"":""SUP006"",""required_level"":""Finance Manager""}",High,Finance_Manager,Rejected,2025-09-16T14:00:00,2025-09-21T06:00:00,FIN-PUR-3.0,true
APR00037,Purchase Request,purchase_request,PUR0037,U0154,Approve purchase,"{""amount_usd"":436.06,""supplier_id"":""SUP079"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2025-12-06T10:00:00,,FIN-PUR-3.0,true
APR00038,Purchase Request,purchase_request,PUR0038,U0131,Approve purchase,"{""amount_usd"":4670.59,""supplier_id"":""SUP056"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-07-03T14:00:00,2026-07-05T18:00:00,FIN-PUR-3.0,true
APR00039,Purchase Request,purchase_request,PUR0039,U0044,Approve purchase,"{""amount_usd"":6884.42,""supplier_id"":""SUP016"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2025-09-04T12:00:00,2025-09-08T23:00:00,FIN-PUR-3.0,true
APR00040,Purchase Request,purchase_request,PUR0040,U0092,Approve purchase,"{""amount_usd"":10901.65,""supplier_id"":""SUP004"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Pending,2025-09-07T11:00:00,,FIN-PUR-3.0,true
APR00041,Purchase Request,purchase_request,PUR0041,U0088,Approve purchase,"{""amount_usd"":1295.42,""supplier_id"":""SUP064"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2026-06-23T14:00:00,,FIN-PUR-3.0,true
APR00042,Purchase Request,purchase_request,PUR0042,U0075,Approve purchase,"{""amount_usd"":28146.12,""supplier_id"":""SUP048"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Rejected,2025-05-22T13:00:00,2025-05-24T09:00:00,FIN-PUR-3.0,true
APR00043,Purchase Request,purchase_request,PUR0043,U0044,Approve purchase,"{""amount_usd"":5405.5,""supplier_id"":""SUP042"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-05-18T11:00:00,2026-05-20T19:00:00,FIN-PUR-3.0,true
APR00044,Purchase Request,purchase_request,PUR0044,U0184,Approve purchase,"{""amount_usd"":41990.62,""supplier_id"":""SUP033"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Approved,2025-12-11T12:00:00,2025-12-15T07:00:00,FIN-PUR-3.0,true
APR00045,Purchase Request,purchase_request,PUR0045,U0157,Approve purchase,"{""amount_usd"":10563.62,""supplier_id"":""SUP009"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-07-06T15:00:00,2026-07-07T00:00:00,FIN-PUR-3.0,true
APR00046,Purchase Request,purchase_request,PUR0046,U0107,Approve purchase,"{""amount_usd"":2112.46,""supplier_id"":""SUP067"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-08-06T08:00:00,2025-08-10T20:00:00,FIN-PUR-3.0,true
APR00047,Purchase Request,purchase_request,PUR0047,U0020,Approve purchase,"{""amount_usd"":19899.33,""supplier_id"":""SUP068"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Rejected,2026-02-14T13:00:00,2026-02-19T11:00:00,FIN-PUR-3.0,true
APR00048,Purchase Request,purchase_request,PUR0048,U0129,Approve purchase,"{""amount_usd"":753.89,""supplier_id"":""SUP008"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-03-10T14:00:00,2026-03-11T22:00:00,FIN-PUR-3.0,true
APR00049,Purchase Request,purchase_request,PUR0049,U0105,Approve purchase,"{""amount_usd"":857.6,""supplier_id"":""SUP038"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2026-04-21T13:00:00,,FIN-PUR-3.0,true
APR00050,Purchase Request,purchase_request,PUR0050,U0183,Approve purchase,"{""amount_usd"":923.33,""supplier_id"":""SUP080"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2026-02-07T14:00:00,,FIN-PUR-3.0,true
APR00051,Purchase Request,purchase_request,PUR0051,U0018,Approve purchase,"{""amount_usd"":1413.77,""supplier_id"":""SUP004"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2026-06-06T14:00:00,,FIN-PUR-3.0,true
APR00052,Purchase Request,purchase_request,PUR0052,U0124,Approve purchase,"{""amount_usd"":955.46,""supplier_id"":""SUP075"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2025-05-22T13:00:00,,FIN-PUR-3.0,true
APR00053,Purchase Request,purchase_request,PUR0053,U0175,Approve purchase,"{""amount_usd"":47057.29,""supplier_id"":""SUP020"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Pending,2025-10-31T12:00:00,,FIN-PUR-3.0,true
APR00054,Purchase Request,purchase_request,PUR0054,U0008,Approve purchase,"{""amount_usd"":4216.87,""supplier_id"":""SUP030"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-03-29T11:00:00,2026-04-03T11:00:00,FIN-PUR-3.0,true
APR00055,Purchase Request,purchase_request,PUR0055,U0029,Approve purchase,"{""amount_usd"":680.24,""supplier_id"":""SUP070"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-02-06T08:00:00,2026-02-07T16:00:00,FIN-PUR-3.0,true
APR00056,Purchase Request,purchase_request,PUR0056,U0038,Approve purchase,"{""amount_usd"":295.25,""supplier_id"":""SUP030"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2025-12-18T11:00:00,2025-12-23T04:00:00,FIN-PUR-3.0,true
APR00057,Purchase Request,purchase_request,PUR0057,U0161,Approve purchase,"{""amount_usd"":495.0,""supplier_id"":""SUP037"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-01-26T11:00:00,2026-01-28T21:00:00,FIN-PUR-3.0,true
APR00058,Purchase Request,purchase_request,PUR0058,U0056,Approve purchase,"{""amount_usd"":16690.39,""supplier_id"":""SUP049"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-06-24T14:00:00,2026-06-28T09:00:00,FIN-PUR-3.0,true
APR00059,Purchase Request,purchase_request,PUR0059,U0047,Approve purchase,"{""amount_usd"":8226.37,""supplier_id"":""SUP037"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Pending,2026-06-30T11:00:00,,FIN-PUR-3.0,true
APR00060,Purchase Request,purchase_request,PUR0060,U0016,Approve purchase,"{""amount_usd"":42288.9,""supplier_id"":""SUP021"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Rejected,2026-06-16T10:00:00,2026-06-20T10:00:00,FIN-PUR-3.0,true
APR00061,Purchase Request,purchase_request,PUR0061,U0126,Approve purchase,"{""amount_usd"":428.66,""supplier_id"":""SUP033"",""required_level"":""Line Manager""}",High,Finance_Manager,Rejected,2025-09-23T10:00:00,2025-09-24T21:00:00,FIN-PUR-3.0,true
APR00062,Purchase Request,purchase_request,PUR0062,U0112,Approve purchase,"{""amount_usd"":2656.29,""supplier_id"":""SUP044"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-06-16T16:00:00,2026-06-18T16:00:00,FIN-PUR-3.0,true
APR00063,Purchase Request,purchase_request,PUR0063,U0199,Approve purchase,"{""amount_usd"":17740.33,""supplier_id"":""SUP046"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Pending,2026-07-21T11:00:00,,FIN-PUR-3.0,true
APR00064,Purchase Request,purchase_request,PUR0064,U0039,Approve purchase,"{""amount_usd"":19119.82,""supplier_id"":""SUP002"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-03-26T16:00:00,2026-03-28T17:00:00,FIN-PUR-3.0,true
APR00065,Purchase Request,purchase_request,PUR0065,U0193,Approve purchase,"{""amount_usd"":17403.68,""supplier_id"":""SUP049"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-06-03T16:00:00,2026-06-07T15:00:00,FIN-PUR-3.0,true
APR00066,Purchase Request,purchase_request,PUR0066,U0139,Approve purchase,"{""amount_usd"":2990.67,""supplier_id"":""SUP062"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-05-04T08:00:00,2025-05-04T13:00:00,FIN-PUR-3.0,true
APR00067,Purchase Request,purchase_request,PUR0067,U0040,Approve purchase,"{""amount_usd"":276.12,""supplier_id"":""SUP061"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2025-12-25T13:00:00,2025-12-29T09:00:00,FIN-PUR-3.0,true
